V1,V2
17710.0043615176,36522.6640258556
36531.6393203226,21622.4252997285
66515.5437271441,49026.4773928489
66573.2914565815,66630.0431611513
10236.7148678056,65668.1401485417
10248.6310659435,65656.1047884224
