file,i,n.opp,n.opp2,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width
2011_276/340.evt,97.5,13718,13718,2696820,2687993,1,10925,202,644,0,-1076,-45133,-942,-45267,2500
2011_276/455.evt,mean,15581,15581,3175424,3158292,1,2441,195,288,0,0,-31943,0,-30507,2500
2011_276/455.evt,2.5,118413,17574,3175424,3158292,1,2540,203,281,0,1077,-18798,942,-15702,2500
2011_276/455.evt,97.5,13712,13712,3175424,3158292,1,2323,192,295,0,-1076,-45133,-942,-45267,2500
2011_276/468.evt,mean,16140,16140,3201107,3184309,1,13021,256,479,0,0,-31943,0,-30507,2500
2011_276/468.evt,2.5,115538,18117,3201107,3184309,1,14729,263,470,0,1077,-18798,942,-15702,2500
2011_276/468.evt,97.5,14418,14418,3201107,3184309,1,11381,253,485,0,-1076,-45133,-942,-45267,2500
2011_276/478.evt,mean,16717,16717,3597438,3577537,2,13874,281,378,0,0,-31943,0,-30507,2500
2011_276/478.evt,2.5,133570,18849,3597438,3577537,2,15683,286,369,0,1077,-18798,942,-15702,2500
2011_276/478.evt,97.5,14794,14794,3597438,3577537,2,12068,274,378,0,-1076,-45133,-942,-45267,2500
2011_277/273.evt,mean,14783,14783,3477632,3463199,4,11718,196,352,0,0,-31943,0,-30507,2500
2011_277/273.evt,2.5,120226,17329,3477632,3463199,4,14128,200,349,0,1077,-18798,942,-15702,2500
2011_277/273.evt,97.5,12529,12529,3477632,3463199,4,9544,188,355,0,-1076,-45133,-942,-45267,2500
2011_277/274.evt,mean,14851,14851,3483008,3468753,7,12087,218,412,0,0,-31943,0,-30507,2500
2011_277/274.evt,2.5,120944,17526,3483008,3468753,7,58162,228,404,0,1077,-18798,942,-15702,2500
2011_277/274.evt,97.5,12633,12633,3483008,3468753,7,9951,214,417,0,-1076,-45133,-942,-45267,2500
2011_277/275.evt,mean,15155,15155,3495680,3481385,4,12108,264,385,0,0,-31943,0,-30507,2500
2011_277/275.evt,2.5,120568,17784,3495680,3481385,4,20317,275,382,0,1077,-18798,942,-15702,2500
2011_277/275.evt,97.5,12880,12880,3495680,3481385,4,9974,258,389,0,-1076,-45133,-942,-45267,2500
2011_280/102.evt,mean,14625,14625,3384704,3374219,4,7395,1156,1001,0,0,-31943,0,-30507,2500
2011_280/102.evt,2.5,69608,16012,3384704,3374219,4,7812,1191,1001,0,1077,-18798,942,-15702,2500
2011_280/102.evt,97.5,13461,13461,3384704,3374219,4,6949,1124,1004,0,-1076,-45133,-942,-45267,2500
2011_280/17.evt,mean,12744,12744,3823360,3821472,1,3966,2668,1965,0,0,-31943,0,-30507,2500
2011_280/17.evt,2.5,27652,13736,3823360,3821472,1,4275,2742,1941,0,1077,-18798,942,-15702,2500
2011_280/17.evt,97.5,11842,11842,3823360,3821472,1,3681,2587,1984,0,-1076,-45133,-942,-45267,2500
2011_280/22.evt,mean,12826,12826,3831680,3829568,3,3839,2663,1900,0,0,-31943,0,-30507,2500
2011_280/22.evt,2.5,28011,13862,3831680,3829568,3,4118,2744,1877,0,1077,-18798,942,-15702,2500
2011_280/22.evt,97.5,11920,11920,3831680,3829568,3,3553,2581,1925,0,-1076,-45133,-942,-45267,2500
2011_280/26.evt,mean,12957,12957,3865729,3863756,2,3719,2755,2136,0,0,-31943,0,-30507,2500
2011_280/26.evt,2.5,28281,14004,3865729,3863756,2,3991,2854,2104,0,1077,-18798,942,-15702,2500
2011_280/26.evt,97.5,12049,12049,3865729,3863756,2,3459,2661,2155,0,-1076,-45133,-942,-45267,2500
2011_280/412.evt,mean,10648,10648,4669056,4669011,1,665,4718,2618,0,0,-31943,0,-30507,2500
2011_280/412.evt,2.5,11742,11206,4669056,4669011,1,765,4912,2575,0,1077,-18798,942,-15702,2500
2011_280/412.evt,97.5,10131,10131,4669056,4669011,1,587,4539,2643,0,-1076,-45133,-942,-45267,2500
2011_280/418.evt,mean,10909,10909,4697856,4697820,1,630,4931,2774,0,0,-31943,0,-30507,2500
2011_280/418.evt,2.5,11988,11496,4697856,4697820,1,714,5113,2745,0,1077,-18798,942,-15702,2500
2011_280/418.evt,97.5,10413,10413,4697856,4697820,1,550,4749,2794,0,-1076,-45133,-942,-45267,2500
2011_280/422.evt,mean,10916,10916,4699776,4699733,2,780,4662,2879,0,0,-31943,0,-30507,2500
2011_280/422.evt,2.5,11962,11434,4699776,4699733,2,890,4814,2834,0,1077,-18798,942,-15702,2500
2011_280/422.evt,97.5,10454,10454,4699776,4699733,2,673,4504,2908,0,-1076,-45133,-942,-45267,2500
2011_280/61.evt,mean,12017,12017,4012288,4011016,1,3024,2557,2244,0,0,-31943,0,-30507,2500
2011_280/61.evt,2.5,22688,12986,4012288,4011016,1,3312,2656,2208,0,1077,-18798,942,-15702,2500
2011_280/61.evt,97.5,11152,11152,4012288,4011016,1,2779,2454,2263,0,-1076,-45133,-942,-45267,2500
2011_280/66.evt,mean,11132,11132,4032896,4032248,5,2543,2306,2131,0,0,-31943,0,-30507,2500
2011_280/66.evt,2.5,17275,12006,4032896,4032248,5,2792,2385,2105,0,1077,-18798,942,-15702,2500
2011_280/66.evt,97.5,10386,10386,4032896,4032248,5,2321,2221,2154,0,-1076,-45133,-942,-45267,2500
2011_280/71.evt,mean,11886,11886,4029568,4028231,2,2900,2614,2177,0,0,-31943,0,-30507,2500
2011_280/71.evt,2.5,22687,12898,4029568,4028231,2,3157,2727,2156,0,1077,-18798,942,-15702,2500
