file,i,n.opp,n.opp2,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width
2011_274/264.evt,mean,8058,8058,3073152,3073143,2,356,3822,2278,0,0,-35003,0,-33092,2500
2011_274/264.evt,2.5,7438,7438,3073152,3073143,2,310,3510,2171,0,0,-19626,0,-15587,2500
2011_274/264.evt,97.5,8755,8755,3073152,3073143,2,396,4174,2431,0,0,-50380,0,-50598,2500
2011_274/269.evt,mean,8173,8173,3075968,3075958,1,386,3912,2219,0,0,-35003,0,-33092,2500
2011_274/269.evt,2.5,7507,7507,3075968,3075958,1,357,3545,2112,0,0,-19626,0,-15587,2500
2011_274/269.evt,97.5,8871,8871,3075968,3075958,1,427,4265,2362,0,0,-50380,0,-50598,2500
2011_274/275.evt,mean,7696,7696,3091584,3091581,0,311,2897,3085,0,0,-35003,0,-33092,2500
2011_274/275.evt,2.5,7048,7048,3091584,3091581,0,280,2620,2877,0,0,-19626,0,-15587,2500
2011_274/275.evt,97.5,8419,8419,3091584,3091581,0,352,3192,3331,0,0,-50380,0,-50598,2500
2011_274/74.evt,mean,8356,8356,3381248,3381244,2,148,4850,2125,0,0,-35003,0,-33092,2500
2011_274/74.evt,2.5,7616,7616,3381248,3381244,2,124,4347,2029,0,0,-19626,0,-15587,2500
2011_274/74.evt,97.5,9207,9207,3381248,3381244,2,184,5396,2260,0,0,-50380,0,-50598,2500
2011_274/75.evt,mean,8284,8284,3388416,3388414,2,166,4750,2217,0,0,-35003,0,-33092,2500
2011_274/75.evt,2.5,7538,7538,3388416,3388414,2,135,4262,2099,0,0,-19626,0,-15587,2500
2011_274/75.evt,97.5,9157,9157,3388416,3388414,2,188,5332,2374,0,0,-50380,0,-50598,2500
2011_274/79.evt,mean,8413,8413,3354368,3354366,3,145,4825,2288,0,0,-35003,0,-33092,2500
2011_274/79.evt,2.5,7631,7631,3354368,3354366,3,123,4315,2154,0,0,-19626,0,-15587,2500
2011_274/79.evt,97.5,9242,9242,3354368,3354366,3,164,5333,2449,0,0,-50380,0,-50598,2500
2011_275/11.evt,mean,11147,11147,2109056,2108160,2,6207,1591,1412,0,0,-35003,0,-33092,2500
2011_275/11.evt,2.5,10726,10726,2109056,2108160,2,5950,1532,1388,0,0,-19626,0,-15587,2500
2011_275/11.evt,97.5,11634,11634,2109056,2108160,2,6475,1647,1472,0,0,-50380,0,-50598,2500
2011_275/18.evt,mean,11317,11317,2154779,2153869,1,6743,1728,1348,0,0,-35003,0,-33092,2500
2011_275/18.evt,2.5,10854,10854,2154779,2153869,1,6450,1652,1328,0,0,-19626,0,-15587,2500
2011_275/18.evt,97.5,11802,11802,2154779,2153869,1,7041,1794,1397,0,0,-50380,0,-50598,2500
2011_275/30.evt,mean,10166,10166,2175488,2175111,2,5491,1473,1367,0,0,-35003,0,-33092,2500
2011_275/30.evt,2.5,9696,9696,2175488,2175111,2,5214,1405,1341,0,0,-19626,0,-15587,2500
2011_275/30.evt,97.5,10644,10644,2175488,2175111,2,5737,1548,1426,0,0,-50380,0,-50598,2500
2011_275/333.evt,mean,9137,9137,2446848,2446619,3,1412,2775,3080,0,0,-35003,0,-33092,2500
2011_275/333.evt,2.5,8643,8643,2446848,2446619,3,1315,2591,2973,0,0,-19626,0,-15587,2500
2011_275/333.evt,97.5,9641,9641,2446848,2446619,3,1496,2927,3226,0,0,-50380,0,-50598,2500
2011_275/450.evt,mean,14848,14848,3011456,3003613,0,1531,281,380,0,0,-35003,0,-33092,2500
2011_275/450.evt,2.5,14524,14524,3011456,3003613,0,1504,275,374,0,0,-19626,0,-15587,2500
2011_275/450.evt,97.5,15197,15197,3011456,3003613,0,1562,289,390,0,0,-50380,0,-50598,2500
2011_275/460.evt,mean,15151,15151,3029376,3022849,5,12428,338,686,0,0,-35003,0,-33092,2500
2011_275/460.evt,2.5,14781,14781,3029376,3022849,5,12132,332,678,0,0,-19626,0,-15587,2500
2011_275/460.evt,97.5,15515,15515,3029376,3022849,5,12709,345,706,0,0,-50380,0,-50598,2500
2011_275/470.evt,mean,14824,14824,3008000,3001531,2,12382,288,704,0,0,-35003,0,-33092,2500
2011_275/470.evt,2.5,14473,14473,3008000,3001531,2,12096,283,687,0,0,-19626,0,-15587,2500
2011_275/470.evt,97.5,15194,15194,3008000,3001531,2,12670,303,725,0,0,-50380,0,-50598,2500
2011_276/191.evt,mean,14763,14763,2780928,2774350,1,11612,271,671,0,0,-35003,0,-33092,2500
2011_276/191.evt,2.5,14389,14389,2780928,2774350,1,11328,262,662,0,0,-19626,0,-15587,2500
2011_276/191.evt,97.5,15097,15097,2780928,2774350,2,11843,277,690,0,0,-50380,0,-50598,2500
2011_276/207.evt,mean,14683,14683,2777472,2770380,1,11477,210,697,0,0,-35003,0,-33092,2500
2011_276/207.evt,2.5,14306,14306,2777472,2770380,1,11182,204,682,0,0,-19626,0,-15587,2500
2011_276/207.evt,97.5,15050,15050,2777472,2770380,1,11733,221,718,0,0,-50380,0,-50598,2500
2011_276/224.evt,mean,14127,14127,2752882,2745368,2,11021,264,668,0,0,-35003,0,-33092,2500
2011_276/224.evt,2.5,13781,13781,2752882,2745368,2,10764,258,663,0,0,-19626,0,-15587,2500
2011_276/224.evt,97.5,14499,14499,2752882,2745368,2,11291,270,692,0,0,-50380,0,-50598,2500
2011_276/322.evt,mean,14556,14556,2675072,2665081,4,11700,214,717,0,0,-35003,0,-33092,2500
2011_276/322.evt,2.5,14241,14241,2675072,2665081,4,11471,209,697,0,0,-19626,0,-15587,2500
2011_276/322.evt,97.5,14870,14870,2675072,2665081,4,11947,216,739,0,0,-50380,0,-50598,2500
2011_276/330.evt,mean,15004,15004,2679552,2670137,1,12239,207,722,0,0,-35003,0,-33092,2500
2011_276/330.evt,2.5,14673,14673,2679552,2670137,1,11985,200,700,0,0,-19626,0,-15587,2500
2011_276/330.evt,97.5,15331,15331,2679552,2670137,1,12491,209,740,0,0,-50380,0,-50598,2500
2011_276/340.evt,mean,15260,15260,2696820,2687993,1,12407,205,622,0,0,-35003,0,-33092,2500
2011_276/340.evt,2.5,14923,14923,2696820,2687993,1,12143,199,607,0,0,-19626,0,-15587,2500
2011_276/340.evt,97.5,15589,15589,2696820,2687993,1,12649,208,642,0,0,-50380,0,-50598,2500
2011_276/455.evt,mean,15561,15561,3175424,3158292,1,2441,195,277,0,0,-35003,0,-33092,2500
2011_276/455.evt,2.5,15227,15227,3175424,3158292,1,2391,191,272,0,0,-19626,0,-15587,2500
2011_276/455.evt,97.5,15867,15867,3175424,3158292,1,2488,203,286,0,0,-50380,0,-50598,2500
2011_276/468.evt,mean,16125,16125,3201107,3184309,1,13021,256,470,0,0,-35003,0,-33092,2500
2011_276/468.evt,2.5,15786,15786,3201107,3184309,1,12750,252,464,0,0,-19626,0,-15587,2500
2011_276/468.evt,97.5,16473,16473,3201107,3184309,1,13278,267,482,0,0,-50380,0,-50598,2500
2011_276/478.evt,mean,16704,16704,3597438,3577537,2,13874,281,369,0,0,-35003,0,-33092,2500
