file,n.opp,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width,corr
2011_274/264.evt,24300,3073152,3073143,2,1601,7350,3239,0,5507.5,-33433.5,5507.5,-31682.5,2500,5507.5
2011_274/264.evt,370,3073152,3073143,0,1,234,86,0,-10000,-48941,-10000,-47190,2500,-10000
2011_274/264.evt,1151,3073152,3073143,0,12,600,364,0,-7500,-46441,-7500,-44690,2500,-7500
2011_274/264.evt,2807,3073152,3073143,1,54,1307,993,0,-5000,-43941,-5000,-42190,2500,-5000
2011_274/264.evt,5166,3073152,3073143,1,153,2455,1654,0,-2500,-41441,-2500,-39690,2500,-2500
2011_274/264.evt,7999,3073152,3073143,2,356,3822,2235,0,0,-38941,0,-37190,2500,0
2011_274/264.evt,12686,3073152,3073143,2,769,5411,2702,0,2500,-36441,2500,-34690,2500,2500
2011_274/264.evt,21660,3073152,3073143,2,1416,6996,3141,0,5000,-33941,5000,-32190,2500,5000
2011_274/264.evt,37219,3073152,3073143,2,2244,8544,3555,0,7500,-31441,7500,-29690,2500,7500
2011_274/264.evt,66750,3073152,3073143,2,3169,9937,3946,0,10000,-28941,10000,-27190,2500,10000
2011_274/269.evt,24435,3075968,3075958,3,1675,7388,3109,0,5507.5,-33433.5,5507.5,-31682.5,2500,5507.5
2011_274/269.evt,336,3075968,3075958,0,2,212,72,0,-10000,-48941,-10000,-47190,2500,-10000
2011_274/269.evt,1092,3075968,3075958,0,19,552,338,0,-7500,-46441,-7500,-44690,2500,-7500
2011_274/269.evt,2830,3075968,3075958,0,62,1323,968,0,-5000,-43941,-5000,-42190,2500,-5000
2011_274/269.evt,5209,3075968,3075958,1,172,2479,1605,0,-2500,-41441,-2500,-39690,2500,-2500
2011_274/269.evt,8107,3075968,3075958,1,386,3912,2161,0,0,-38941,0,-37190,2500,0
2011_274/269.evt,12777,3075968,3075958,2,813,5464,2638,0,2500,-36441,2500,-34690,2500,2500
2011_274/269.evt,21820,3075968,3075958,2,1473,7063,3026,0,5000,-33941,5000,-32190,2500,5000
2011_274/269.evt,37328,3075968,3075958,3,2358,8654,3361,0,7500,-31441,7500,-29690,2500,7500
2011_274/269.evt,66568,3075968,3075958,3,3263,9971,3679,0,10000,-28941,10000,-27190,2500,10000
2011_274/275.evt,22120,3091584,3091581,0,2914,5970,4706,0,5507.5,-33433.5,5507.5,-31682.5,2500,5507.5
2011_274/275.evt,334,3091584,3091581,0,0,113,164,0,-10000,-48941,-10000,-47190,2500,-10000
