file,n.opp,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width,corr
2015-08-02T06-00-56+00-00,2664,2804608,2769909,0,2330,24,29,2576,-577,-57359,577,-54465,2500,-15263
2015-08-02T06-00-56+00-00,39168,2804608,2769909,1,4434,45,123,2576,4160,-52622,5314,-49728,2500,-20000
2015-08-02T06-00-56+00-00,16226,2804608,2769909,0,3218,30,83,2576,1660,-55122,2814,-52228,2500,-17500
2015-08-02T06-00-56+00-00,2525,2804608,2769909,0,2223,24,28,2576,-840,-57622,314,-54728,2500,-15000
2015-08-02T06-00-56+00-00,1577,2804608,2769909,0,1447,9,11,2576,-3340,-60122,-2186,-57228,2500,-12500
2015-08-02T06-00-56+00-00,794,2804608,2769909,0,744,4,5,2576,-5840,-62622,-4686,-59728,2500,-10000
2015-08-02T06-00-56+00-00,290,2804608,2769909,0,270,2,4,2576,-8340,-65122,-7186,-62228,2500,-7500
2015-08-02T06-00-56+00-00,55,2804608,2769909,0,45,0,3,2576,-10840,-67622,-9686,-64728,2500,-5000
2015-08-02T10-01-15+00-00,3396,2941568,2895551,0,2809,31,37,2160,-577,-57359,577,-54465,2500,-15263
2015-08-02T10-01-15+00-00,59141,2941568,2895551,0,5117,42,108,2160,4160,-52622,5314,-49728,2500,-20000
2015-08-02T10-01-15+00-00,27595,2941568,2895551,0,3799,36,74,2160,1660,-55122,2814,-52228,2500,-17500
2015-08-02T10-01-15+00-00,3229,2941568,2895551,0,2692,30,33,2160,-840,-57622,314,-54728,2500,-15000
2015-08-02T10-01-15+00-00,1906,2941568,2895551,0,1661,21,14,2160,-3340,-60122,-2186,-57228,2500,-12500
2015-08-02T10-01-15+00-00,910,2941568,2895551,0,798,5,5,2160,-5840,-62622,-4686,-59728,2500,-10000
2015-08-02T10-01-15+00-00,277,2941568,2895551,0,222,2,5,2160,-8340,-65122,-7186,-62228,2500,-7500
2015-08-02T10-01-15+00-00,47,2941568,2895551,0,27,1,2,2160,-10840,-67622,-9686,-64728,2500,-5000
2015-08-02T14-00-09+00-00,6027,2831402,2468979,0,5222,47,153,3584,-577,-57359,577,-54465,2500,-15263
2015-08-02T14-00-09+00-00,109302,2831402,2468979,1,8738,62,181,3584,4160,-52622,5314,-49728,2500,-20000
2015-08-02T14-00-09+00-00,48388,2831402,2468979,0,6965,53,170,3584,1660,-55122,2814,-52228,2500,-17500
2015-08-02T14-00-09+00-00,5779,2831402,2468979,0,4995,47,151,3584,-840,-57622,314,-54728,2500,-15000
2015-08-02T14-00-09+00-00,3531,2831402,2468979,0,2899,41,135,3584,-3340,-60122,-2186,-57228,2500,-12500
