file,i,n.opp,n.opp2,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width
2015-08-02T06-00-56+00-00,mean,4381,4381,2804608,2769909,0,3632,20,28,0,0,-56782,0,-55042,2500
2015-08-02T06-00-56+00-00,97.5,3382,3382,2804608,2769909,0,2982,16,35,0,-2436,-82998,-1798,-79634,2500
2015-08-02T06-00-56+00-00,2.5,57637,5484,2804608,2769909,0,4332,20,25,0,2436,-30566,1856,-30450,2500
2015-08-02T10-01-15+00-00,mean,5103,5103,2941568,2895551,0,4345,29,31,0,0,-56782,0,-55042,2500
2015-08-02T10-01-15+00-00,97.5,3780,3780,2941568,2895551,0,3379,28,33,0,-2436,-82998,-1798,-79634,2500
2015-08-02T10-01-15+00-00,2.5,70711,6393,2941568,2895551,0,5280,32,31,0,2436,-30566,1856,-30450,2500
2015-08-02T14-00-09+00-00,mean,22593,22593,2831402,2468979,0,20144,72,182,0,0,-56782,0,-55042,2500
2015-08-02T14-00-09+00-00,97.5,17866,17866,2831402,2468979,0,16646,64,178,0,-2436,-82998,-1798,-79634,2500
2015-08-02T14-00-09+00-00,2.5,175919,24797,2831402,2468979,0,21835,75,187,0,2436,-30566,1856,-30450,2500
2015-08-02T18-00-28+00-00,mean,21632,21632,2847616,2476954,0,18412,72,156,0,0,-56782,0,-55042,2500
2015-08-02T18-00-28+00-00,97.5,17621,17621,2847616,2476954,0,16267,69,156,0,-2436,-82998,-1798,-79634,2500
2015-08-02T18-00-28+00-00,2.5,185079,23631,2847616,2476954,0,19699,78,153,0,2436,-30566,1856,-30450,2500
2015-08-02T22-09-46+00-00,mean,15774,15774,2318208,2019068,0,13514,57,115,0,0,-56782,0,-55042,2500
2015-08-02T22-09-46+00-00,97.5,12908,12908,2318208,2019068,0,12236,57,117,0,-2436,-82998,-1798,-79634,2500
2015-08-02T22-09-46+00-00,2.5,143897,17229,2318208,2019068,0,14425,61,115,0,2436,-30566,1856,-30450,2500
