V1,V2
28971.2712519325,39216.2702002423
16978.0761414543,34028.5670903692
13449.5065466984,29264.8789754674
15680.1271750497,16366.2132168688
21309.1558492661,11633.0764007313
33526.0088324863,12341.7739523701
38847.0496163693,19026.4907016944
40355.823626752,29461.1479251048
