file,n.opp,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width,corr
2016-04-21T01-15-37-00-00,93701,1837824,1837824,284,2992,27,50,0,5507.5,-60027.5,5507.5,-66900.5,2500,5507.5
2016-04-21T01-15-37-00-00,68,1837824,1837824,0,61,1,0,0,-7500,-73035,-7500,-79908,2500,-7500
2016-04-21T01-15-37-00-00,478,1837824,1837824,0,451,4,1,0,-5000,-70535,-5000,-77408,2500,-5000
2016-04-21T01-15-37-00-00,1166,1837824,1837824,2,1104,12,4,0,-2500,-68035,-2500,-74908,2500,-2500
2016-04-21T01-15-37-00-00,1828,1837824,1837824,25,1687,15,7,0,0,-65535,0,-72408,2500,0
2016-04-21T01-15-37-00-00,2826,1837824,1837824,191,2252,22,27,0,2500,-63035,2500,-69908,2500,2500
2016-04-21T01-15-37-00-00,58779,1837824,1837824,274,2865,24,46,0,5000,-60535,5000,-67408,2500,5000
2016-04-21T01-15-37-00-00,171516,1837824,1837824,318,3607,32,58,0,7500,-58035,7500,-64908,2500,7500
2016-04-21T01-15-37-00-00,205951,1837824,1837824,364,4475,38,69,0,10000,-55535,10000,-62408,2500,10000
2016-04-21T15-10-38-00-00,105236,2188800,2188800,287,3572,37,73,0,5507.5,-60027.5,5507.5,-66900.5,2500,5507.5
2016-04-21T15-10-38-00-00,21,2188800,2188800,0,10,2,0,0,-7500,-73035,-7500,-79908,2500,-7500
2016-04-21T15-10-38-00-00,236,2188800,2188800,1,203,6,0,0,-5000,-70535,-5000,-77408,2500,-5000
2016-04-21T15-10-38-00-00,1081,2188800,2188800,3,981,17,5,0,-2500,-68035,-2500,-74908,2500,-2500
2016-04-21T15-10-38-00-00,2173,2188800,2188800,40,1886,21,13,0,0,-65535,0,-72408,2500,0
2016-04-21T15-10-38-00-00,3427,2188800,2188800,201,2650,26,44,0,2500,-63035,2500,-69908,2500,2500
