cruise,pro.influx,syn.influx,pico.influx,pro.seaflow,syn.seaflow,pico.seaflow
SCOPE6,203.886033689612,1.3591361674995,2.8059645297443,262.962930180272,0.300812001373745,0.421136801923243
SCOPE6,181.346629158505,2.18888826147094,4.10531847722274,282.32664902838,0.43617740199193,0.466258602129305
SCOPE6,173.130495082054,1.15908058234416,2.80800614215499,252.08421322518,1.08292320494548,2.73738921250108
SCOPE6,180.3821622526,1.02141016806727,2.77009710713222,241.423018512823,1.08292320494548,2.34633361071521
SCOPE6,190.630946689536,1.14069489425651,2.61090613885134,198.084031412383,0.857314203915173,1.72966900789903
SCOPE6,199.845081751426,1.25472095650101,2.61622437113287,200.142145781215,0.782111203571737,2.01544040920409
SCOPE6,208.587570728487,1.41405387853118,2.79105299659884,237.387531911598,0.887395404052548,1.56422240714347
SCOPE6,199.4,1.188,2.744,259.326828791257,0.736989403365675,1.66950660762428
SCOPE6,184.611441359289,1.31816135081962,2.82891561420179,260.971906948624,1.09796380501417,2.28617121044046
SCOPE6,169.31423758454,1.02732849197516,2.93786986438873,251.068458368657,0.947557804327297,2.03048100927278
SCOPE6,210.412557141534,1.07787752822715,2.79136615730925,231.413994531092,0.691867603159613,1.68454720769297
SCOPE6,208.681914642153,1.0517200486711,2.57566550384098,171.951121435549,0.87235480398386,1.7747908081051
SCOPE6,218.825835511169,1.16143612157772,2.5901728449965,197.334170046755,0.631705202884864,2.09064340954753
SCOPE6,210.102665137641,1.01748090694448,2.90803311949398,259.706041386023,0.842273603846486,2.27113061037177
SCOPE6,210.102665137641,1.01748090694448,2.90803311949398,262.535058782281,0.932517204258609,1.97031860899803
SCOPE6,210.102665137641,1.01748090694448,2.90803311949398,257.9653968046,0.947557804327297,1.88007500858591
SCOPE6,210.102665137641,1.01748090694448,2.90803311949398,290.258225559824,1.11300440508286,4.12112441882031
DeepDOM,163.654351856034,19.2163111116022,3.25597037045358,130.63290875022,17.2231867764914,6.23831961983153
DeepDOM,185.985749972102,6.11459999908281,2.02239999969664,129.022249530319,5.65347715547233,4.83978329201604
DeepDOM,206.609059074756,3.20237272702236,1.98397727257216,140.094814433768,3.05135198796108,3.66162238555329
DeepDOM,167.120549974932,2.7373499995894,1.13364999982995,206.326563979847,1.88166705924266,1.84776314826532
DeepDOM,211.391827448965,1.82980455998188,1.39112571298839,207.186799982557,0.220375421352744,3.4073430532232
DeepDOM,132.528644447831,1.28565185188471,1.33510000003412,160.838754040616,0.517034642404516,3.58533858585426
DeepDOM,151.747039388849,1.30134913958539,1.24864652645576,195.588577347297,0.627222353080888,1.97490281443036
DeepDOM,233.016174964118,1.96204646537555,1.43574644783919,231.055218526839,0.406846931728144,3.39039109773453
DeepDOM,230.163838640357,2.54332876898383,1.33469148226556,262.107715387641,1.88166705924266,3.07677992119409
DeepDOM,254.172694746273,3.14284031309348,1.56539938966342,226.513846315995,1.65281566014558,2.32241790194815
DeepDOM,201.12768001432,2.76879200019714,1.17488800008365,214.953569647872,1.7969072817993,2.36479779066983
DeepDOM,202.700714884237,14.0420009190742,1.88252177162341,355.933736303075,12.6885386832715,3.61924249683161
DeepDOM,331.927254142234,13.3841005735384,1.85630299329961,322.951093493956,10.4763084919997,2.92421232179603
DeepDOM,247.036949962944,5.07574999923864,1.53259999977011,216.399898701885,2.66993298946594,1.28834861713912
DeepDOM,228.524522138006,3.42031796632503,1.54047765707393,212.754198736112,3.55991065262126,1.72909945984461
DeepDOM,264.574649975694,19.7659784964746,2.23126863572032,240.594787478463,16.4773007349898,1.55957990495788
DeepDOM,345.057092766617,9.23882440515609,2.2699337576717,277.506967212468,6.07727604268914,3.16153969863745
DeepDOM,297.579410203736,7.87961117453728,2.20256847792184,314.06125267616,5.07711066885746,1.61891174916824
DeepDOM,180.78242963425,2.83375925933168,1.32749259262652,247.641171648925,1.34768046134948,1.00016537383169
DeepDOM,289.122507091331,5.87590714180997,2.13102499962022,235.451029110808,5.45005368960826,4.3397006051002
DeepDOM,313.109008348309,7.06824798562354,1.93900810600668,344.26770529669,4.29732071637852,1.45786817202585
MBARI1,14.336,180.717,38.096,4.41772228120622,105.586306668405,42.2998337848888
MBARI1,14.336,180.717,38.096,4.99065105046466,103.40926941751,44.8687377409449
MBARI1,14.336,180.717,38.096,4.24630920996628,105.042047355681,46.4144341890803
MBARI1,63.698,94.868,20.968,9.83078848306863,83.2063637292049,48.6567825575021
MBARI1,63.698,94.868,20.968,10.5268592035097,85.1656972550104,47.0457749918398
MBARI1,63.698,94.868,20.968,9.07890601805254,63.0687691584266,65.7465249770274
MBARI1,144.843,22.414,7.419,85.1243134193591,34.6366626617386,29.0199065544297
MBARI1,144.843,22.414,7.419,92.9491236581291,37.6192036954647,27.9096175564732
MBARI1,144.843,22.414,7.419,85.3134047013033,32.0677587056826,27.8007656939285
MBARI1,80.834,51.454,22.893,27.3231467601652,60.4127837123348,66.1819324272064
MBARI1,169.345,2.934,3.286,22.3134859969028,6.1174746750148,7.70671186816812
MBARI1,169.345,2.934,3.286,178.528377480284,7.35838590802492,14.3902162284156
MBARI1,169.345,2.934,3.286,180.542973795231,6.26986728257745,14.9127051686304
MBARI1,194.984,2.435,3.516,157.158868010457,5.89977094992531,14.1072013857993
MBARI1,194.984,2.435,3.516,156.030796264722,4.57177822687939,14.5643792084872
MBARI1,194.984,2.435,3.516,154.249775473696,5.74737834236266,13.9765791507456
MBARI1,182.413,1.978,2.933,154.291327789723,4.65885971691519,15.1739496387378
MBARI1,182.413,1.978,2.933,156.858839663896,4.50646710935254,15.3481126188094
MBARI1,182.413,1.978,2.933,157.424328453087,4.46292636433464,12.9969123878428
MBARI1,210.651,2.473,1.741,35.6628645417247,4.24522263924515,5.61675610730897
MBARI1,210.651,2.473,1.741,185.171864288936,5.57321536229107,9.73135651150042
MBARI1,210.651,2.473,1.741,214.100464476771,6.1174746750148,7.35838590802492
MBARI1,145.412,2.347,1.424,197.689229478356,4.2669930117541,7.35838590802492
MBARI1,145.412,2.347,1.424,203.455519511994,4.74594120695099,8.3598230434366
MBARI1,145.412,2.347,1.424,200.450708673526,5.74737834236266,7.85910447573076
MBARI1,104.458,39.004,13.942,86.3412973704936,58.0833538538772,40.5799743566818
MBARI1,104.458,39.004,13.942,83.2848502325279,57.9745019913325,39.0995890260733
MBARI1,104.458,39.004,13.942,80.5484067941351,59.9773762621558,44.0414635856048
MBARI1,88.153,39.997,15.955,73.4598310244736,55.6668425053838,46.3491230715534
MBARI1,88.153,39.997,15.955,67.0270561762612,50.2024790056375,44.4986414082927
MBARI1,88.153,39.997,15.955,71.4908771395163,56.9077537383939,44.9993599759986
MBARI1,143.825,15.169,6.313,137.98821332031,29.0634472994476,21.2043428237168
MBARI1,143.825,15.169,6.313,152.476065358767,26.8210989310258,21.5091280388421
MBARI1,143.825,15.169,6.313,123.028231299032,25.1665506203456,21.095490961172
MBARI1,37.992,94.627,37.189,21.327506986048,102.712617497224,53.5551163720157
MBARI1,37.992,94.627,37.189,19.8275456340632,107.34970684163,57.0383759734476
MBARI1,37.992,94.627,37.189,24.6150520027287,101.493476636722,58.9977094992531
MBARI1,30.022,80.293,35.585,6.9603285518498,57.5608649136624,53.0761681768188
MBARI1,30.022,80.293,35.585,8.41480025804037,57.7132575212251,50.2242493781464
MBARI1,30.022,80.293,35.585,7.82256695421412,58.170435343913,52.0747310414072
MBARI1,81.52,124.319,30.02,9.52564937237089,42.2998337848888,37.2926481078305
MBARI1,81.52,124.319,30.02,9.54955514198101,43.3230412928095,37.8804481655721
MBARI1,81.52,124.319,30.02,9.19527296159415,42.8440930976126,40.057485416467
MBARI1,77.076,113.497,27.557,11.7714561045621,52.5972199816219,40.9065299443161
MBARI1,77.076,113.497,27.557,15.3154172039208,54.0122941947037,42.1039004323083
MBARI1,77.076,113.497,27.557,15.609077311668,51.5957828462103,42.4957671374694
MBARI1,82.941,108.167,28.521,14.055083660583,55.579761015348,41.1024632968966
MBARI1,82.941,108.167,28.521,15.510297919419,54.0776053122305,43.10533756772
MBARI1,82.941,108.167,28.521,22.5746379056344,57.8656501287877,43.10533756772
Gradient1,180.456,2.104,2.36,194.221036836935,2.9515912980583,1.37740927242721
Gradient1,268.8976378,2.007874016,2.181102362,217.55278212678,4.13222781728163,2.55804579165053
Gradient1,127.944,3.904,2.168,156.795800827704,14.1676382306799,3.93545506407774
Gradient1,220.616,5.328,3.288,190.993581331004,16.3321385159226,4.72254607689329
