cruise,file,i,n.opp,n.opp2,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width,time,fr,vc,pro.seaflow,pro.seaflow2,syn.seaflow,syn.seaflow2,pico.seaflow,pico.seaflow2,pro.influx,syn.influx,pico.influx
SCOPE6,2015-08-02T06-00-56+00-00,mean,4471,4471,2804608,2769909,0,3632,20,96,0,0,-46309,0,-44948,2500,2015-08-02 06:00:56,2910.8666,14.0955727086341,257.669558738486,54.5550390460876,1.41888523534409,0.300413210606209,6.81064912965162,1.44198341090981,203.886033689612,1.3591361674995,2.8059645297443
SCOPE6,2015-08-02T10-01-15+00-00,mean,5220,5220,2941568,2895551,0,4345,29,116,0,0,-46309,0,-44948,2500,2015-08-02 10:01:15,2910.8666,15.7428313146617,275.998637929468,65.264770004199,1.84210828537504,0.435599155379004,7.36843314150017,1.74239662151601,181.346629158505,2.18888826147094,4.10531847722274
SCOPE6,2015-08-02T14-00-09+00-00,mean,22614,22614,2831402,2468979,0,20144,72,198,0,0,-46309,0,-44948,2500,2015-08-02 14:00:09,2910.8666,79.9840791992155,251.850120694989,302.576185722574,0.900179144660406,1.08148755818235,2.47549264781612,2.97409078500147,173.130495082054,1.15908058234416,2.80800614215499
SCOPE6,2015-08-02T18-00-28+00-00,mean,21655,21655,2847616,2476954,0,18412,72,174,0,0,-46309,0,-44948,2500,2015-08-02 18:00:28,2910.8666,76.3455634093326,241.166600621999,276.560401684076,0.943080341341729,1.08148755818235,2.27911082490918,2.61359493227402,180.3821622526,1.02141016806727,2.77009710713222
SCOPE6,2015-08-02T22-09-46+00-00,mean,15804,15804,2318208,2019068,0,13514,57,138,0,0,-46309,0,-44948,2500,2015-08-02 22:09:46,2910.8666,68.353323037758,197.708017685328,202.989206406616,0.833902398110382,0.856177650227697,2.01892159542513,2.07285115318285,190.630946689536,1.14069489425651,2.61090613885134
SCOPE6,2015-08-03T02-00-11+00-00,mean,16547,16547,2828928,2508589,1,11502,52,161,0,0,-46309,0,-44948,2500,2015-08-03 02:00:11,2910.8666,57.6014360625037,199.68252158712,172.767637419631,0.902755270607741,0.781074347576145,2.79506920322781,2.41832634537999,199.845081751426,1.25472095650101,2.61622437113287
SCOPE6,2015-08-03T06-00-31+00-00,mean,17307,17307,2930304,2595469,1,13800,59,128,0,0,-46309,0,-44948,2500,2015-08-03 06:00:31,2910.8666,58.2303640454191,236.989760002808,207.285115318285,1.01321708986708,0.886218971288318,2.19816588988111,1.92264454787974,208.587570728487,1.41405387853118,2.79105299659884
SCOPE6,2015-08-03T10-00-50+00-00,mean,21240,21240,3109203,2747121,2,17487,49,129,0,0,-46309,0,-44948,2500,2015-08-03 10:00:50,2910.8666,67.5181106882442,258.997176042794,262.666290693539,0.725731207531131,0.736012365985213,1.91059848513298,1.93766520841005,199.4,1.188,2.744
SCOPE6,2015-08-03T14-01-19+00-00,mean,24126,24126,3063168,2663785,1,20609,73,173,0,0,-46309,0,-44948,2500,2015-08-03 14:01:19,2910.8666,79.091481773041,260.571676468764,309.560792869169,0.922981822612441,1.09650821871266,2.18734048372537,2.59857427174371,184.611441359289,1.31816135081962,2.82891561420179
SCOPE6,2015-08-03T18-01-39+00-00,mean,22741,22741,2939776,2518508,1,19771,63,151,0,0,-46309,0,-44948,2500,2015-08-03 18:01:39,2910.8666,78.8514676355207,250.73724805464,296.973479344768,0.798970544102086,0.94630161340956,1.91499289141929,2.26811974007688,169.31423758454,1.02732849197516,2.93786986438873
SCOPE6,2015-08-03T22-01-58+00-00,mean,18927,18927,2896512,2516638,1,15179,46,132,0,0,-46309,0,-44948,2500,2015-08-03 22:01:58,2910.8666,65.675681768534,231.12055469019,227.998606189583,0.700411457655231,0.690950384394282,2.00987635674979,1.98272719000098,210.412557141534,1.07787752822715,2.79136615730925
SCOPE6,2015-08-04T02-03-11+00-00,mean,15095,15095,3142450,2781122,0,8122,58,152,0,0,-46309,0,-44948,2500,2015-08-04 02:03:11,2910.8666,47.3976308773941,171.358775737327,121.997804827182,1.2236898538248,0.871198310758007,3.20691134105809,2.28314040060719,208.681914642153,1.0517200486711,2.57566550384098
SCOPE6,2015-08-04T05-58-44+00-00,mean,15793,15793,3228485,2830858,1,9590,42,164,0,0,-46309,0,-44948,2500,2015-08-04 05:58:44,2910.8666,48.7180736869882,196.84686347854,144.048134485677,0.862103051730831,0.63086774227304,3.36630715437753,2.46338832697092,218.825835511169,1.16143612157772,2.5901728449965
SCOPE6,2015-08-04T10-02-04+00-00,mean,21875,21875,3262848,2869331,1,17267,56,171,0,0,-46309,0,-44948,2500,2015-08-04 10:02:04,2910.8666,66.5749683898442,259.361745376871,259.361745376871,0.841156989697387,0.841156989697387,2.56853295068309,2.56853295068309,210.102665137641,1.01748090694448,2.90803311949398
SCOPE6,2015-08-04T13-59-24+00-00,mean,22721,22721,3094199,2648366,1,19649,62,146,0,0,-46309,0,-44948,2500,2015-08-04 13:59:24,2910.8666,74.9191766001376,262.269299953357,295.14095876007,0.827558481200475,0.931280952879249,1.94876674605273,2.19301643742533,210.102665137641,1.01748090694448,2.90803311949398
SCOPE6,2015-08-04T18-01-07+00-00,mean,23227,23227,3201408,2724689,1,19187,63,133,0,0,-46309,0,-44948,2500,2015-08-04 18:01:07,2910.8666,74.4422925165404,257.743271349909,288.201413595067,0.846293120083613,0.94630161340956,1.78661880906541,1.99774785053129,210.102665137641,1.01748090694448,2.90803311949398
SCOPE6,2015-08-04T21-58-26+00-00,mean,20884,20884,3565440,3193574,0,16554,74,292,0,0,-46309,0,-44948,2500,2015-08-04 21:58:26,2910.8666,57.1058050394949,289.882963536738,248.65201441876,1.29584023811276,1.11152887924297,5.11331553417468,4.38603287485066,210.102665137641,1.01748090694448,2.90803311949398
DeepDOM,2013_088/251.evt,mean,20667,20667,1324416,1262477,6,16004,2032,736,0,0,-35003,0,-33092,2500,2013-03-29 12:36:03,2494.59889778,122.511242787994,130.63290875022,136.464392746811,16.5862328530647,17.3266462172907,6.00761189953523,6.2757931180738,163.654351856034,19.2163111116022,3.25597037045358
DeepDOM,2013_090/238.evt,mean,19923,19923,1323776,1238339,8,15537,667,568,0,0,-35003,0,-33092,2500,2013-03-31 11:52:27,2494.59889778,120.402960353678,129.041677666071,132.482333798251,5.53973090064165,5.68743751325438,4.71749198135601,4.84327512373086,185.985749972102,6.11459999908281,2.02239999969664
DeepDOM,2013_091/270.evt,mean,21610,21610,1349376,1241312,6,18254,360,430,0,0,-35003,0,-33092,2500,2013-04-01 13:37:41,2494.59889778,130.28541296876,140.107780173188,155.649901599618,2.76316428521681,3.06968141644914,3.30044622956452,3.66656391409203,206.609059074756,3.20237272702236,1.98397727257216
DeepDOM,2013_092/418.evt,mean,24934,24934,1798912,1684030,9,22872,222,216,0,0,-35003,0,-33092,2500,2013-04-02 21:19:05,2495.46094,110.844503502835,206.343113796481,195.027092658402,2.00280566906343,1.8929702068103,1.94867578611577,1.84180884986948,167.120549974932,2.7373499995894,1.13364999982995
DeepDOM,2013_096/2.evt,mean,26310,26310,1746875,1669676,7,24444,26,400,0,0,-35003,0,-33092,2500,2013-04-06 00:03:21,2495.46094,117.967037912865,207.210424475143,208.431368176897,0.22040054967901,0.221699213410216,3.39077768736939,3.41075712938793,211.391827448965,1.82980455998188,1.39112571298839
DeepDOM,2013_100/55.evt,mean,18359,18359,1420288,1328910,48,16629,61,423,0,0,-35003,0,-33092,2500,2013-04-10 02:43:19,2494.59889778,103.389261494781,160.838754040616,141.79370076148,0.590003247127163,0.52014046223166,4.09133399237361,3.60687566432774,132.528644447831,1.28565185188471,1.33510000003412
DeepDOM,2013_101/151.evt,mean,23668,23668,1703552,1576826,293,21964,74,232,0,0,-35003,0,-33092,2500,2013-04-11 07:36:19,2493.73646134,112.292201993743,195.596841187814,187.284673974691,0.658995003091341,0.630990068936768,2.06603838807015,1.978239135045,151.747039388849,1.30134913958539,1.24864652645576
