file,n.opp,n.opp.,n.evt,n.evt.,beads,pro,syn,pico,width,corr,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2,cruise,time,fr,pro.influx,syn.influx,pico.influx,vc1,vc2,vc3,vc4,pro.seaflow.each1,pro.seaflow.median1,pro.seaflow.each2,pro.seaflow.median2,pro.seaflow.each3,pro.seaflow.median3,pro.seaflow.each4,pro.seaflow.median4,syn.seaflow.each1,syn.seaflow.median1,syn.seaflow.each2,syn.seaflow.median2,syn.seaflow.each3,syn.seaflow.median3,syn.seaflow.each4,syn.seaflow.median4,pico.seaflow.each1,pico.seaflow.median1,pico.seaflow.each2,pico.seaflow.median2,pico.seaflow.each3,pico.seaflow.median3,pico.seaflow.each4,pico.seaflow.median4
2011_276/322.evt,389823,28951,2675072,2665081,9,25238,403,1341,5000,10000,3986,3680,-28629,-27469,0.658,0.657,1.37,1.337,MBARI_1,2011-10-03 16:06:09,3.75929377659307,182.413,1.978,2.933,1643.46138482199,1649.62248187523,122.055010997251,122.51257743327,15.3566127157491,592.117055750967,15.2992580286069,592.116355279359,206.775615304876,592.209740583987,206.003338830632,592.183682584863,0.245214158191889,9.45491613708058,0.244298319420262,9.4549049519606,3.3017898790659,9.45639612708404,3.28945818007546,9.45598003335049,0.815960759641002,31.461644019417,0.812913266358738,31.4616068004446,10.9868492005642,31.4665687504211,10.9458149366779,31.4651841804541
2011_276/322.evt,19394,19190,2675072,2665081,6,14913,348,1120,5000,1,0,0,-38628,-37468,0.658,0.657,1.37,1.337,MBARI_1,2011-10-03 16:06:09,3.75929377659307,182.413,1.978,2.933,81.7634929114947,82.0700123222288,80.9034458580789,81.206741077837,182.391914398063,349.878819732711,181.710707456063,349.878405827763,184.330838344765,349.933586707703,183.642389807342,349.91818917458,4.25617824787273,8.16454296700755,4.24028204886407,8.16453330839278,4.30142370709973,8.16582097326363,4.28535852296351,8.16546166651606,13.6980449356824,26.2766900087599,13.6468847549648,26.276658923563,13.8436625056083,26.2808031323427,13.7919584647102,26.2796467428103
2011_276/322.evt,15509,15509,2675072,2665081,2,12225,280,661,5000,2,0,0,-38627,-37467,0.526720223541739,0.51903597624869,1.37,1.337,MBARI_1,2011-10-03 16:06:09,3.75929377659307,182.413,1.978,2.933,65.384655644239,65.6297731827084,65.384655644239,65.6297731827084,186.970473110951,286.814763711688,186.272165926378,286.814424411212,186.970473110951,286.85965919008,186.272165926378,286.847036991836,4.28235030438171,6.56917250218998,4.26635635659598,6.56916473089074,4.28235030438171,6.57020078308568,4.26635635659598,6.56991168570257,10.1094055399868,15.5079393712413,10.0716483989641,15.5079210254242,10.1094055399868,15.5103668486416,10.0716483989641,15.5096843723193
2011_276/322.evt,17393,17393,2675072,2665081,5,13455,310,956,5000,3,0,0,-36129,-34969,0.581295843520782,0.581295843520782,1.37,1.337,MBARI_1,2011-10-03 16:06:09,3.75929377659307,182.413,1.978,2.933,73.3274431375491,73.6023370279739,73.3274431375491,73.6023370279739,183.492010961856,315.672200060594,182.806695321185,315.67182662191,183.492010961856,315.721612630064,182.806695321185,315.707720468315,4.22761229269233,7.27301241313891,4.21182278331976,7.27300380920046,4.22761229269233,7.27415086698772,4.21182278331976,7.27383079488499,13.0374108123028,22.4290318289058,12.9887180027538,22.4290052954698,13.0374108123028,22.4325426736783,12.9887180027538,22.4315556126131
2011_276/322.evt,13530,13530,2675072,2665081,0,11009,246,306,5000,4,0,0,-41129,-39969,0.472144603562696,0.464460356269647,1.37,1.337,MBARI_1,2011-10-03 16:06:09,3.75929377659307,182.413,1.978,2.933,57.0413560427206,57.2551957677506,57.0413560427206,57.2551957677506,193.000320535068,258.285785987891,192.279492758296,258.285480437058,193.000320535068,258.326215789251,192.279492758296,258.314849099642,4.31266044614649,5.7714872697812,4.29655329444461,5.77148044213972,4.31266044614649,5.77239068799671,4.29655329444461,5.77213669529583,5.36452884764563,7.17916709167905,5.34449312235793,7.17915859875917,5.36452884764563,7.18029085580078,5.34449312235793,7.17997491366067
2011_276/330.evt,4189,4189,2679552,2670137,1,1740,203,657,5000,0,-6014,-6320,-38629,-37469,0.658,0.657,1.37,1.337,MBARI_1,2011-10-03 16:30:11,3.75768569911232,182.413,1.978,2.933,17.6234072638801,17.6855480377017,17.6234072638801,17.6855480377017,98.7323264988716,40.8227148350377,98.3854159503968,40.8226665419639,98.7323264988716,40.8291048663182,98.3854159503968,40.8273083325803,11.5187714248684,4.76265006408774,11.4782985275463,4.76264442989579,11.5187714248684,4.76339556773712,11.4782985275463,4.76318597213437,37.2799646607808,15.4140940497815,37.1489760226498,15.4140758149829,37.2799646607808,15.4165068374546,37.1489760226498,15.415828491095
2011_276/330.evt,9436,9436,2679552,2670137,2,6071,251,942,5000,2500,-3514,-3820,-36129,-34969,0.658,0.657,1.37,1.337,MBARI_1,2011-10-03 16:30:11,3.75768569911232,182.413,1.978,2.933,39.6978923232211,39.8378685327651,39.6978923232211,39.8378685327651,152.930033427714,142.433736645698,152.39269126577,142.433568147277,152.930033427714,142.456031978976,152.39269126577,142.449763728215,6.32275381162185,5.88879392160602,6.30053788629687,5.88878695519134,6.32275381162185,5.88971570198038,6.30053788629687,5.88945654682624,23.7292194842541,22.1005732037963,23.6458433820384,22.1005470589253,23.7292194842541,22.104032634524,23.6458433820384,22.1030600283279
2011_276/330.evt,16464,16464,2679552,2670137,2,12349,301,1131,5000,5000,-1014,-1320,-33629,-32469,0.658,0.657,1.37,1.337,MBARI_1,2011-10-03 16:30:11,3.75768569911232,182.413,1.978,2.933,69.2651652405163,69.5093967277918,69.2651652405163,69.5093967277918,178.285866454218,289.723968676943,177.659432844171,289.723625934892,178.285866454218,289.769319536875,177.659432844171,289.75656930979,4.3456187385796,7.06186043985423,4.33034976808613,7.06185208570755,4.3456187385796,7.06296584181711,4.33034976808613,7.06265506213027,16.3285541306762,26.5347646427745,16.271181354503,26.5347332522765,16.3285541306762,26.5389181631068,16.271181354503,26.5377504161772
2011_276/330.evt,111356,23506,2679552,2670137,3,87384,330,1255,5000,7500,1486,1180,-31129,-29969,0.658,0.657,1.37,1.337,MBARI_1,2011-10-03 16:30:11,3.75768569911232,182.413,1.978,2.933,468.482248574036,470.134133990524,98.891337107846,99.2400315526892,186.525744072436,2050.14489261203,185.870358440643,2050.14246730056,883.636550537317,2050.46580438985,880.531763571694,2050.37558122655,0.704402356769018,7.74223902043819,0.701927335500918,7.74222986140695,3.33699603677235,7.74345092292241,3.32527101046712,7.7431102010066,2.67886350831854,29.4439696080301,2.66945092743531,29.4439347759567,12.6906970489373,29.4485785099019,12.6461064185947,29.4472827341312
2011_276/330.evt,386316,29641,2679552,2670137,3,303386,369,1334,5000,10000,3986,3680,-28629,-27469,0.658,0.657,1.37,1.337,MBARI_1,2011-10-03 16:30:11,3.75768569911232,182.413,1.978,2.933,1625.25762725069,1630.98834464854,124.701698426515,125.1414011424,186.669482371981,7117.83917410503,186.013591694535,7117.83075373578,2432.89388860073,7118.95333849012,2424.34555814804,7118.64009528058,0.227040928043025,8.6572309046718,0.226243186354293,8.65722066320959,2.95906154171145,8.65858603199506,2.9486644438327,8.65820504294375,0.820792948534946,31.2974147068623,0.817908971806576,31.2973776821723,10.6975287171899,31.3023137308439,10.6599413768911,31.3009363883115
2011_276/330.evt,20008,19857,2679552,2670137,2,15665,323,1137,5000,1,0,0,-38628,-37468,0.658,0.657,1.37,1.337,MBARI_1,2011-10-03 16:30:11,3.75768569911232,182.413,1.978,2.933,84.175013734952,84.4718178893136,83.5397464881518,83.8343106671382,186.100355734132,367.521740167164,185.446464766822,367.521305390727,187.515531929723,367.579268810847,186.856668532738,367.563094844753,3.83724321111552,7.57800970788344,3.82376049279818,7.57800074313468,3.86642303308653,7.57919590334527,3.85283778717359,7.57886240886404,13.5075713035243,26.6755326249643,13.4601104653608,26.6755010679385,13.6102878904625,26.6797081798872,13.5624661424656,26.6785342380137
2011_276/330.evt,16107,16107,2679552,2670137,1,12916,253,707,5000,2,0,0,-38627,-37467,0.526720223541739,0.51903597624869,1.37,1.337,MBARI_1,2011-10-03 16:30:11,3.75768569911232,182.413,1.978,2.933,67.7632420146378,68.0021776660923,67.7632420146378,68.0021776660923,190.604811930485,303.026542993878,189.935093893916,303.026184514946,190.604811930485,303.073976122624,189.935093893916,303.060640473337,3.73358759820477,5.93571658233595,3.72046908912672,5.93570956041199,3.73358759820477,5.93664570757385,3.72046908912672,5.9363844874384,10.4333851064457,16.5871605680297,10.3967258735676,16.5871409454991,10.4333851064457,16.5897569772913,10.3967258735676,16.589027006399
2011_276/330.evt,17968,17968,2679552,2670137,2,14177,278,982,5000,3,0,0,-36129,-34969,0.581295843520782,0.581295843520782,1.37,1.337,MBARI_1,2011-10-03 16:30:11,3.75768569911232,182.413,1.978,2.933,75.5925953013603,75.8591375367446,75.5925953013603,75.8591375367446,187.544824244775,332.611280584098,186.885857924933,332.610887106564,187.544824244775,332.663344649306,186.885857924933,332.648707029305,3.67760888340603,6.52224984146005,3.66468706377452,6.52224212567009,3.67760888340603,6.52327077749221,3.66468706377452,6.52298374509041,12.9906903723192,23.0390264183949,12.9450456713186,23.0389991633382,12.9906903723192,23.0426327463934,12.9450456713186,23.0416188405712
2011_276/330.evt,13996,13996,2679552,2670137,1,11563,236,318,5000,4,0,0,-41129,-39969,0.472144603562696,0.464460356269647,1.37,1.337,MBARI_1,2011-10-03 16:30:11,3.75768569911232,182.413,1.978,2.933,58.8821217630142,59.0897422620368,58.8821217630142,59.0897422620368,196.375396364591,271.283363010081,195.685402531005,271.283042083177,196.375396364591,271.325827338642,195.685402531005,271.31388864921,4.00800774384185,5.53687396613156,3.99392501922659,5.53686741603648,4.00800774384185,5.53774066002936,3.99392501922659,5.53749699223503,5.4006206039903,7.46070305605862,5.38164472929685,7.46069423008306,5.4006206039903,7.4618708893616,5.38164472929685,7.46154255733364
