file,n.opp,n.opp.,n.evt,n.evt.,beads,pro,syn,pico,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width,corr
2016_112/2016-04-21T01-15-37-00-00,823,823,1837824,1837824,1,777,8,3,-3450,-68911,-4358,-76685,3000,-5000
2016_112/2016-04-21T01-15-37-00-00,1657,1657,1837824,1837824,20,1544,19,8,-950,-66411,-1858,-74185,3000,-2500
2016_112/2016-04-21T01-15-37-00-00,2549,2549,1837824,1837824,118,2236,25,21,1550,-63911,642,-71685,3000,0
2016_112/2016-04-21T01-15-37-00-00,4549,3800,1837824,1837824,274,2913,30,46,4050,-61411,3142,-69185,3000,2500
2016_112/2016-04-21T01-15-37-00-00,122136,5410,1837824,1837824,351,3677,38,66,6550,-58911,5642,-66685,3000,5000
2016_112/2016-04-21T01-15-37-00-00,210878,6788,1837824,1837824,403,4627,44,84,9050,-56411,8142,-64185,3000,7500
2016_112/2016-04-21T01-15-37-00-00,243747,8264,1837824,1837824,454,5663,53,100,11550,-53911,10642,-61685,3000,10000
2016_112/2016-04-21T01-15-37-00-00,2196,2196,1837824,1837824,110,1948,22,12,0,-63910,0,-71684,3000,1
2016_112/2016-04-21T01-15-37-00-00,2325,2325,1837824,1837824,118,2045,25,20,0,-63909,0,-71683,3000,2
2016_112/2016-04-21T01-15-37-00-00,2453,2453,1837824,1837824,285,2001,21,37,0,-60911,0,-68685,3000,3
2016_112/2016-04-21T01-15-37-00-00,1885,1885,1837824,1837824,14,1761,19,7,0,-66911,0,-74685,3000,4
2016_112/2016-04-21T15-10-38-00-00,512,512,2188800,2188800,2,450,13,3,-3450,-68911,-4358,-76685,3000,-5000
2016_112/2016-04-21T15-10-38-00-00,1685,1685,2188800,2188800,16,1516,18,7,-950,-66411,-1858,-74185,3000,-2500
2016_112/2016-04-21T15-10-38-00-00,3026,3026,2188800,2188800,138,2513,23,29,1550,-63911,642,-71685,3000,0
2016_112/2016-04-21T15-10-38-00-00,5359,4477,2188800,2188800,268,3350,32,59,4050,-61411,3142,-69185,3000,2500
2016_112/2016-04-21T15-10-38-00-00,136913,6357,2188800,2188800,339,4283,41,87,6550,-58911,5642,-66685,3000,5000
2016_112/2016-04-21T15-10-38-00-00,235493,8018,2188800,2188800,372,5398,44,108,9050,-56411,8142,-64185,3000,7500
2016_112/2016-04-21T15-10-38-00-00,273939,9967,2188800,2188800,386,6795,54,138,11550,-53911,10642,-61685,3000,10000
2016_112/2016-04-21T15-10-38-00-00,2527,2527,2188800,2188800,133,2114,21,19,0,-63910,0,-71684,3000,1
2016_112/2016-04-21T15-10-38-00-00,2686,2686,2188800,2188800,139,2238,22,29,0,-63909,0,-71683,3000,2
