cruise,file,date,file_duration,lat,lon,conductivity,salinity,ocean_tmp,par,bulk_red,stream_pressure,flow_rate,event_rate
KOK1606,2016_111/2016-04-20T00-04-37-00-00,2016-04-20T00:04:37-0000,180.039,21.454151,-158.311125,5.35696,34.69258,25.81463,1939.9,144.9582,11.59,2869.157,9017.01
KOK1606,2016_111/2016-04-20T00-07-37-00-00,2016-04-20T00:07:37-0000,180.04,21.461403,-158.313228,5.35781,34.69171,25.82068,1939.9,144.9582,12,2910.8775,8618.4
KOK1606,2016_111/2016-04-20T00-10-37-00-00,2016-04-20T00:10:37-0000,180.052,21.468753,-158.315139,5.35537,34.68955,25.80193,1939.9,144.9582,12,2910.831,8539.06
KOK1606,2016_111/2016-04-20T00-13-37-00-00,2016-04-20T00:13:37-0000,180.006,21.476017,-158.317139,5.3541,34.68632,25.80279,1939.9,144.9582,12,2910.8407,8450.94
KOK1606,2016_111/2016-04-20T00-16-37-00-00,2016-04-20T00:16:37-0000,180.084,21.483308,-158.31925,5.35135,34.68285,25.77324,1766.6,144.9582,12,2910.8497,8574.1
KOK1606,2016_111/2016-04-20T00-19-37-00-00,2016-04-20T00:19:37-0000,180.11,21.490637,-158.321362,5.35209,34.68171,25.78055,1766.6,144.9582,12,2910.8269,8810.77
KOK1606,2016_111/2016-04-20T00-22-38-00-00,2016-04-20T00:22:38-0000,180.11,21.497954,-158.323397,5.34976,34.68083,25.7611,1766.6,144.9582,12,2910.7676,8743.25
KOK1606,2016_111/2016-04-20T00-25-38-00-00,2016-04-20T00:25:38-0000,180.127,21.50525,-158.325461,5.34774,34.68076,25.73628,1766.6,144.9582,12,2910.8804,8446.95
KOK1606,2016_111/2016-04-20T00-28-38-00-00,2016-04-20T00:28:38-0000,180.004,21.512539,-158.327563,5.34679,34.68136,25.73644,1766.6,144.9582,12,2910.8495,8430.38
KOK1606,2016_111/2016-04-20T00-31-38-00-00,2016-04-20T00:31:38-0000,180.14,21.519791,-158.329749,5.34594,34.68072,25.72912,1763.1,144.9582,12,2910.8038,8619.22
KOK1606,2016_111/2016-04-20T00-34-39-00-00,2016-04-20T00:34:39-0000,180.132,21.526915,-158.331925,5.34573,34.67968,25.72552,1763.1,144.9582,12,2910.7268,8856.85
KOK1606,2016_111/2016-04-20T00-37-39-00-00,2016-04-20T00:37:39-0000,180.103,21.534081,-158.33404,5.3453,34.67961,25.72098,1763.1,144.9582,12,2910.689,8776.77
KOK1606,2016_111/2016-04-20T00-40-39-00-00,2016-04-20T00:40:39-0000,180.14,21.541375,-158.335528,5.34488,34.68005,25.71186,1763.1,144.9582,12,2910.7076,8659.86
KOK1606,2016_111/2016-04-20T00-43-40-00-00,2016-04-20T00:43:40-0000,180.119,21.549279,-158.335408,5.34308,34.67749,25.70466,1763.1,144.9582,12,2910.9216,8693.9
KOK1606,2016_111/2016-04-20T00-46-40-00-00,2016-04-20T00:46:40-0000,180.015,21.557055,-158.335053,5.3347,34.60677,25.71603,1659.9,144.9582,12,2910.8233,8997.63
KOK1606,2016_111/2016-04-20T00-49-40-00-00,2016-04-20T00:49:40-0000,180.145,21.565113,-158.334856,5.34382,34.68039,25.70756,1659.9,144.9582,12,2910.7399,9123.26
KOK1606,2016_111/2016-04-20T00-52-40-00-00,2016-04-20T00:52:40-0000,180.037,21.57319,-158.334684,5.34456,34.68227,25.71304,1659.9,144.9582,12,2910.7566,8876.45
KOK1606,2016_111/2016-04-20T00-55-40-00-00,2016-04-20T00:55:40-0000,180.099,21.580998,-158.334236,5.34371,34.68618,25.7013,1659.9,144.9582,12,2910.8756,8746.32
KOK1606,2016_111/2016-04-20T00-58-41-00-00,2016-04-20T00:58:41-0000,180.059,21.588245,-158.333558,5.34403,34.69759,25.69258,1659.9,144.9582,12,2910.8194,9041.84
KOK1606,2016_111/2016-04-20T01-01-41-00-00,2016-04-20T01:01:41-0000,180.141,21.595039,-158.332495,5.34223,34.70162,25.66541,1727.7,144.9582,12,2910.9654,9383.37
KOK1606,2016_111/2016-04-20T01-04-41-00-00,2016-04-20T01:04:41-0000,180.031,21.601976,-158.331385,5.34318,34.69645,25.68354,1727.7,144.9582,12,2910.7688,9473.7
KOK1606,2016_111/2016-04-20T01-07-41-00-00,2016-04-20T01:07:41-0000,180.062,21.608979,-158.330199,5.33375,34.62097,25.68485,1727.7,144.9582,12,2910.7874,9283.25
KOK1606,2016_111/2016-04-20T01-10-42-00-00,2016-04-20T01:10:42-0000,180.036,21.616019,-158.329174,5.34435,34.69032,25.68997,1727.7,144.9582,12,2910.9024,9033.92
KOK1606,2016_111/2016-04-20T01-13-42-00-00,2016-04-20T01:13:42-0000,180.035,21.623186,-158.328188,5.34414,34.69129,25.69553,1727.7,144.9582,12,2910.7031,9120.99
KOK1606,2016_111/2016-04-20T01-16-42-00-00,2016-04-20T01:16:42-0000,180.052,21.630225,-158.327276,5.34371,34.69123,25.6878,1714.3,144.9582,12,2911.0059,9119.88
KOK1606,2016_111/2016-04-20T01-19-42-00-00,2016-04-20T01:19:42-0000,180.035,21.637357,-158.326322,5.34339,34.69042,25.69373,1714.3,144.9582,12,2910.717,9266.67
KOK1606,2016_111/2016-04-20T01-22-42-00-00,2016-04-20T01:22:42-0000,180.02,21.644537,-158.325442,5.3435,34.69018,25.68722,1714.3,144.9582,12,2910.7773,9073.19
KOK1606,2016_111/2016-04-20T01-25-43-00-00,2016-04-20T01:25:43-0000,180.138,21.651763,-158.324536,5.34244,34.69103,25.6763,1714.3,144.9582,12,2910.6601,8822.24
KOK1606,2016_111/2016-04-20T01-28-43-00-00,2016-04-20T01:28:43-0000,180.15,21.658966,-158.323588,5.34223,34.691,25.67818,1714.3,144.9582,12,2910.8502,8773.95
KOK1606,2016_111/2016-04-20T01-31-43-00-00,2016-04-20T01:31:43-0000,180.125,21.666151,-158.322671,5.34191,34.69373,25.67003,1205.3,144.9582,12,2910.7281,8915.77
KOK1606,2016_111/2016-04-20T01-34-43-00-00,2016-04-20T01:34:43-0000,180.144,21.673525,-158.321831,5.34255,34.69838,25.67245,1205.3,144.9582,12,2910.9217,9019.71
KOK1606,2016_111/2016-04-20T01-37-44-00-00,2016-04-20T01:37:44-0000,180.009,21.680879,-158.321014,5.34202,34.71575,25.63642,1205.3,144.9582,12,2910.9036,9380.12
KOK1606,2016_111/2016-04-20T01-40-44-00-00,2016-04-20T01:40:44-0000,180.023,21.688177,-158.320207,5.33428,34.74738,25.52404,1205.3,144.9582,12,2910.859,9310.81
KOK1606,2016_111/2016-04-20T01-43-44-00-00,2016-04-20T01:43:44-0000,180.003,21.695334,-158.319453,5.33555,34.73485,25.55516,1205.3,144.9582,12,2910.8441,9292.64
KOK1606,2016_111/2016-04-20T01-46-44-00-00,2016-04-20T01:46:44-0000,180.014,21.70239,-158.318725,5.33576,34.72118,25.5714,1169.5,144.9582,12,2910.8683,9216.94
KOK1606,2016_111/2016-04-20T01-49-44-00-00,2016-04-20T01:49:44-0000,180.03,21.709576,-158.317845,5.33332,34.72921,25.53954,1169.5,144.9582,12,2910.8004,9261.96
KOK1606,2016_111/2016-04-20T01-52-45-00-00,2016-04-20T01:52:45-0000,180.009,21.71645,-158.317021,5.33078,34.72529,25.51473,1169.5,144.9582,12,2910.8536,9535.94
KOK1606,2016_111/2016-04-20T01-55-45-00-00,2016-04-20T01:55:45-0000,180.057,21.723319,-158.31611,5.33089,34.71642,25.54311,1169.5,144.9582,12,2910.8163,9511.44
KOK1606,2016_111/2016-04-20T01-58-45-00-00,2016-04-20T01:58:45-0000,180.03,21.730329,-158.315161,5.33248,34.72756,25.53163,1169.5,144.9582,12,2910.9058,9179.31
KOK1606,2016_111/2016-04-20T02-01-45-00-00,2016-04-20T02:01:45-0000,180.024,21.73741,-158.314238,5.32845,34.75856,25.45108,829.4,144.9582,12,2910.8198,9249.27
KOK1606,2016_111/2016-04-20T02-04-45-00-00,2016-04-20T02:04:45-0000,180.052,21.74437,-158.31321,5.32474,34.75834,25.41067,829.4,76.1859,12,2910.9345,9384.08
KOK1606,2016_111/2016-04-20T02-07-45-00-00,2016-04-20T02:07:45-0000,180.064,21.751351,-158.312242,5.32039,34.78616,25.32867,829.4,76.1859,12,2910.6347,9575.13
KOK1606,2016_111/2016-04-20T02-10-46-00-00,2016-04-20T02:10:46-0000,180.072,21.758246,-158.3114,5.31329,34.79174,25.26872,829.4,76.1859,12,2910.7634,10045.91
KOK1606,2016_111/2016-04-20T02-13-46-00-00,2016-04-20T02:13:46-0000,180.017,21.764997,-158.310545,5.31265,34.79116,25.25823,829.4,76.1859,12,2910.7289,10342.33
KOK1606,2016_111/2016-04-20T02-16-46-00-00,2016-04-20T02:16:46-0000,180.031,21.771786,-158.309724,5.31287,34.78862,25.26691,905.37,76.1859,12,2910.8591,10344.53
KOK1606,2016_111/2016-04-20T02-19-46-00-00,2016-04-20T02:19:46-0000,180.06,21.778498,-158.308921,5.31244,34.78908,25.25946,905.37,76.1859,12,2910.5934,10106.22
KOK1606,2016_111/2016-04-20T02-22-46-00-00,2016-04-20T02:22:46-0000,180.06,21.785171,-158.308069,5.3117,34.78977,25.2544,905.37,76.1859,12,2910.9175,10058.3
KOK1606,2016_111/2016-04-20T02-25-47-00-00,2016-04-20T02:25:47-0000,180.046,21.791938,-158.307206,5.31234,34.79035,25.25456,905.37,76.1859,12,2910.7223,10209.11
KOK1606,2016_111/2016-04-20T02-28-47-00-00,2016-04-20T02:28:47-0000,180.135,21.798742,-158.306216,5.31371,34.79538,25.26136,905.37,76.1859,12,2910.7383,10201.21
KOK1606,2016_111/2016-04-20T02-31-47-00-00,2016-04-20T02:31:47-0000,180.1,21.805462,-158.30524,5.31043,34.80502,25.22825,1274.3,76.1859,12,2910.8005,10253.79
KOK1606,2016_111/2016-04-20T02-34-47-00-00,2016-04-20T02:34:47-0000,180.003,21.812279,-158.304305,5.30608,34.82643,25.14704,1274.3,76.1859,12,2910.8541,10289.36
KOK1606,2016_111/2016-04-20T02-37-48-00-00,2016-04-20T02:37:48-0000,180.137,21.819053,-158.303473,5.30481,34.82218,25.1458,1274.3,60.3773,12,2910.7862,10151.62
KOK1606,2016_111/2016-04-20T02-40-48-00-00,2016-04-20T02:40:48-0000,180.099,21.825944,-158.302594,5.30375,34.82156,25.13232,1274.3,60.3773,12,2910.6358,10232.28
KOK1606,2016_111/2016-04-20T02-43-48-00-00,2016-04-20T02:43:48-0000,180,21.832791,-158.301658,5.30322,34.82125,25.13145,1274.3,60.3773,12,2911.0903,9997.31
KOK1606,2016_111/2016-04-20T02-46-48-00-00,2016-04-20T02:46:48-0000,180,21.839777,-158.300701,5.30184,34.82189,25.11479,1126.4,60.3773,12,2910.8724,10262.57
KOK1606,2016_111/2016-04-20T02-49-48-00-00,2016-04-20T02:49:48-0000,180.05,21.846866,-158.299686,5.30163,34.82341,25.11409,1126.4,60.3773,12,2910.7492,9908.06
KOK1606,2016_111/2016-04-20T02-52-49-00-00,2016-04-20T02:52:49-0000,180.102,21.853945,-158.298813,5.30205,34.82345,25.11987,1126.4,60.3773,12,2910.8773,9844.82
KOK1606,2016_111/2016-04-20T02-55-49-00-00,2016-04-20T02:55:49-0000,180.138,21.860969,-158.297916,5.3012,34.82337,25.10869,1126.4,60.3773,12,2910.8261,9859.39
KOK1606,2016_111/2016-04-20T02-58-49-00-00,2016-04-20T02:58:49-0000,180.013,21.868011,-158.296989,5.29728,34.82119,25.0647,1126.4,60.3773,12,2910.8199,10093.75
KOK1606,2016_111/2016-04-20T03-01-49-00-00,2016-04-20T03:01:49-0000,180.07,21.875,-158.296125,5.28499,34.81229,24.96351,793.48,60.3773,12,2910.9117,10097.15
KOK1606,2016_111/2016-04-20T03-04-50-00-00,2016-04-20T03:04:50-0000,180.013,21.882414,-158.295188,5.27566,34.81147,24.86959,793.48,60.3773,12,2910.9409,10262.79
