file,n.opp,n.opp.,n.evt,n.evt.,beads,pro,syn,pico,width,corr,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2
2017_152/2017-06-01T06-27-31+00-00.gz,245907,18705,2556800,2439829,42,10472,1705,255,5000,10000,3739,9356,-64530,-66074,0.642,0.639,1.91,2.04
2017_152/2017-06-01T06-27-31+00-00.gz,13314,12880,2556800,2439829,17,7782,1331,173,5000,1,0,0,-74529,-76073,0.642,0.639,1.91,2.04
2017_152/2017-06-01T06-27-31+00-00.gz,11841,11841,2556800,2439829,13,6876,1129,120,5000,2,0,0,-74528,-76072,0.525705794947994,0.62704309063893,1.91,2.04
2017_152/2017-06-01T06-27-31+00-00.gz,12029,12029,2556800,2439829,21,7009,1153,151,5000,3,0,0,-72030,-73574,0.572139673105498,0.572139673105498,1.91,2.04
2017_152/2017-06-01T06-27-31+00-00.gz,10964,10964,2556800,2439829,9,6391,1007,88,5000,4,0,0,-77030,-78574,0.47927191679049,0.580609212481426,1.91,2.04
2017_153/2017-06-02T06-27-50+00-00.gz,3877,3877,2357836,2357736,0,295,2925,269,5000,0,-6261,-644,-74530,-76074,0.642,0.639,1.91,2.04
2017_153/2017-06-02T06-27-50+00-00.gz,5735,5735,2357836,2357736,2,643,3962,410,5000,2500,-3761,1856,-72030,-73574,0.642,0.639,1.91,2.04
2017_153/2017-06-02T06-27-50+00-00.gz,7986,7986,2357836,2357736,3,1072,5097,544,5000,5000,-1261,4356,-69530,-71074,0.642,0.639,1.91,2.04
2017_153/2017-06-02T06-27-50+00-00.gz,11417,10779,2357836,2357736,4,1575,6282,679,5000,7500,1239,6856,-67030,-68574,0.642,0.639,1.91,2.04
2017_153/2017-06-02T06-27-50+00-00.gz,19011,14214,2357836,2357736,6,2079,7530,798,5000,10000,3739,9356,-64530,-66074,0.642,0.639,1.91,2.04
2017_153/2017-06-02T06-27-50+00-00.gz,7787,7785,2357836,2357736,0,1055,5010,490,5000,1,0,0,-74529,-76073,0.642,0.639,1.91,2.04
2017_153/2017-06-02T06-27-50+00-00.gz,5716,5716,2357836,2357736,0,749,3801,309,5000,2,0,0,-74528,-76072,0.525705794947994,0.62704309063893,1.91,2.04
2017_153/2017-06-02T06-27-50+00-00.gz,5998,5998,2357836,2357736,2,766,3962,373,5000,3,0,0,-72030,-73574,0.572139673105498,0.572139673105498,1.91,2.04
2017_153/2017-06-02T06-27-50+00-00.gz,4624,4624,2357836,2357736,0,586,3175,198,5000,4,0,0,-77030,-78574,0.47927191679049,0.580609212481426,1.91,2.04
2017_154/2017-06-03T06-30-31+00-00.gz,1391,1391,2120320,2117768,1,4,75,308,5000,0,-6261,-644,-74530,-76074,0.642,0.639,1.91,2.04
2017_154/2017-06-03T06-30-31+00-00.gz,2426,2426,2120320,2117768,1,13,95,522,5000,2500,-3761,1856,-72030,-73574,0.642,0.639,1.91,2.04
2017_154/2017-06-03T06-30-31+00-00.gz,3981,3980,2120320,2117768,2,26,124,728,5000,5000,-1261,4356,-69530,-71074,0.642,0.639,1.91,2.04
2017_154/2017-06-03T06-30-31+00-00.gz,12821,6057,2120320,2117768,2,39,153,912,5000,7500,1239,6856,-67030,-68574,0.642,0.639,1.91,2.04
2017_154/2017-06-03T06-30-31+00-00.gz,39711,8652,2120320,2117768,3,63,180,1071,5000,10000,3739,9356,-64530,-66074,0.642,0.639,1.91,2.04
2017_154/2017-06-03T06-30-31+00-00.gz,3914,3886,2120320,2117768,1,22,121,606,5000,1,0,0,-74529,-76073,0.642,0.639,1.91,2.04
2017_154/2017-06-03T06-30-31+00-00.gz,2919,2919,2120320,2117768,1,17,96,350,5000,2,0,0,-74528,-76072,0.525705794947994,0.62704309063893,1.91,2.04
2017_154/2017-06-03T06-30-31+00-00.gz,3150,3150,2120320,2117768,1,21,94,479,5000,3,0,0,-72030,-73574,0.572139673105498,0.572139673105498,1.91,2.04
2017_154/2017-06-03T06-30-31+00-00.gz,2296,2296,2120320,2117768,0,15,80,177,5000,4,0,0,-77030,-78574,0.47927191679049,0.580609212481426,1.91,2.04
2017_155/2017-06-04T12-54-58+00-00.gz,1048,1048,1967700,1967696,1,5,94,605,5000,0,-6261,-644,-74530,-76074,0.642,0.639,1.91,2.04
2017_155/2017-06-04T12-54-58+00-00.gz,2038,2038,1967700,1967696,1,18,187,1071,5000,2500,-3761,1856,-72030,-73574,0.642,0.639,1.91,2.04
2017_155/2017-06-04T12-54-58+00-00.gz,3355,3355,1967700,1967696,1,29,326,1648,5000,5000,-1261,4356,-69530,-71074,0.642,0.639,1.91,2.04
2017_155/2017-06-04T12-54-58+00-00.gz,4871,4866,1967700,1967696,1,51,437,2167,5000,7500,1239,6856,-67030,-68574,0.642,0.639,1.91,2.04
2017_155/2017-06-04T12-54-58+00-00.gz,6771,6612,1967700,1967696,1,79,535,2654,5000,10000,3739,9356,-64530,-66074,0.642,0.639,1.91,2.04
2017_155/2017-06-04T12-54-58+00-00.gz,3265,3265,1967700,1967696,1,31,316,1559,5000,1,0,0,-74529,-76073,0.642,0.639,1.91,2.04
2017_155/2017-06-04T12-54-58+00-00.gz,1694,1694,1967700,1967696,1,21,202,673,5000,2,0,0,-74528,-76072,0.525705794947994,0.62704309063893,1.91,2.04
2017_155/2017-06-04T12-54-58+00-00.gz,2020,2020,1967700,1967696,1,22,218,914,5000,3,0,0,-72030,-73574,0.572139673105498,0.572139673105498,1.91,2.04
2017_155/2017-06-04T12-54-58+00-00.gz,1039,1039,1967700,1967696,0,12,136,359,5000,4,0,0,-77030,-78574,0.47927191679049,0.580609212481426,1.91,2.04
2017_156/2017-06-05T10-57-52+00-00.gz,1562,1562,1941760,1940484,0,17,231,280,5000,0,-6261,-644,-74530,-76074,0.642,0.639,1.91,2.04
2017_156/2017-06-05T10-57-52+00-00.gz,2603,2603,1941760,1940484,0,33,305,459,5000,2500,-3761,1856,-72030,-73574,0.642,0.639,1.91,2.04
2017_156/2017-06-05T10-57-52+00-00.gz,3918,3918,1941760,1940484,0,47,398,601,5000,5000,-1261,4356,-69530,-71074,0.642,0.639,1.91,2.04
2017_156/2017-06-05T10-57-52+00-00.gz,9472,5658,1941760,1940484,1,56,483,738,5000,7500,1239,6856,-67030,-68574,0.642,0.639,1.91,2.04
2017_156/2017-06-05T10-57-52+00-00.gz,26392,7819,1941760,1940484,3,72,565,891,5000,10000,3739,9356,-64530,-66074,0.642,0.639,1.91,2.04
2017_156/2017-06-05T10-57-52+00-00.gz,3931,3917,1941760,1940484,0,46,389,559,5000,1,0,0,-74529,-76073,0.642,0.639,1.91,2.04
2017_156/2017-06-05T10-57-52+00-00.gz,2892,2892,1941760,1940484,0,39,295,326,5000,2,0,0,-74528,-76072,0.525705794947994,0.62704309063893,1.91,2.04
2017_156/2017-06-05T10-57-52+00-00.gz,3055,3055,1941760,1940484,0,39,309,427,5000,3,0,0,-72030,-73574,0.572139673105498,0.572139673105498,1.91,2.04
2017_156/2017-06-05T10-57-52+00-00.gz,2310,2310,1941760,1940484,0,33,248,229,5000,4,0,0,-77030,-78574,0.47927191679049,0.580609212481426,1.91,2.04
2017_157/2017-06-06T07-21-36+00-00.gz,2178,2178,2329080,2327952,0,69,885,267,5000,0,-6261,-644,-74530,-76074,0.642,0.639,1.91,2.04
2017_157/2017-06-06T07-21-36+00-00.gz,3367,3367,2329080,2327952,0,170,1163,409,5000,2500,-3761,1856,-72030,-73574,0.642,0.639,1.91,2.04
2017_157/2017-06-06T07-21-36+00-00.gz,4894,4894,2329080,2327952,0,328,1414,531,5000,5000,-1261,4356,-69530,-71074,0.642,0.639,1.91,2.04
2017_157/2017-06-06T07-21-36+00-00.gz,9985,6793,2329080,2327952,1,521,1711,653,5000,7500,1239,6856,-67030,-68574,0.642,0.639,1.91,2.04
2017_157/2017-06-06T07-21-36+00-00.gz,26236,8983,2329080,2327952,2,703,1982,757,5000,10000,3739,9356,-64530,-66074,0.642,0.639,1.91,2.04
2017_157/2017-06-06T07-21-36+00-00.gz,4870,4859,2329080,2327952,0,342,1417,469,5000,1,0,0,-74529,-76073,0.642,0.639,1.91,2.04
2017_157/2017-06-06T07-21-36+00-00.gz,3684,3684,2329080,2327952,0,246,1148,309,5000,2,0,0,-74528,-76072,0.525705794947994,0.62704309063893,1.91,2.04
2017_157/2017-06-06T07-21-36+00-00.gz,3899,3899,2329080,2327952,0,261,1189,380,5000,3,0,0,-72030,-73574,0.572139673105498,0.572139673105498,1.91,2.04
2017_157/2017-06-06T07-21-36+00-00.gz,2963,2963,2329080,2327952,0,195,994,185,5000,4,0,0,-77030,-78574,0.47927191679049,0.580609212481426,1.91,2.04
2017_158/2017-06-07T06-33-33+00-00.gz,2764,2764,2816128,2798092,0,93,667,259,5000,0,-6261,-644,-74530,-76074,0.642,0.639,1.91,2.04
2017_158/2017-06-07T06-33-33+00-00.gz,4179,4179,2816128,2798092,2,171,837,385,5000,2500,-3761,1856,-72030,-73574,0.642,0.639,1.91,2.04
2017_158/2017-06-07T06-33-33+00-00.gz,6255,6255,2816128,2798092,2,245,1025,516,5000,5000,-1261,4356,-69530,-71074,0.642,0.639,1.91,2.04
2017_158/2017-06-07T06-33-33+00-00.gz,38404,8797,2816128,2798092,2,351,1223,621,5000,7500,1239,6856,-67030,-68574,0.642,0.639,1.91,2.04
2017_158/2017-06-07T06-33-33+00-00.gz,115607,11440,2816128,2798092,4,441,1394,712,5000,10000,3739,9356,-64530,-66074,0.642,0.639,1.91,2.04
2017_158/2017-06-07T06-33-33+00-00.gz,6423,6345,2816128,2798092,1,258,1022,483,5000,1,0,0,-74529,-76073,0.642,0.639,1.91,2.04
2017_158/2017-06-07T06-33-33+00-00.gz,5181,5181,2816128,2798092,0,218,824,297,5000,2,0,0,-74528,-76072,0.525705794947994,0.62704309063893,1.91,2.04
2017_158/2017-06-07T06-33-33+00-00.gz,5377,5377,2816128,2798092,2,217,860,373,5000,3,0,0,-72030,-73574,0.572139673105498,0.572139673105498,1.91,2.04
2017_158/2017-06-07T06-33-33+00-00.gz,4490,4490,2816128,2798092,0,195,720,204,5000,4,0,0,-77030,-78574,0.47927191679049,0.580609212481426,1.91,2.04
2017_159/2017-06-08T13-18-35+00-00.gz,4429,4429,2281344,2198530,0,3528,488,60,5000,0,-6261,-644,-74530,-76074,0.642,0.639,1.91,2.04
