local.time,fcs.file,label,Volume,i,n,fsc,chl,ssc,green,conc,duplicate,exp,lat,long
10/28/11 20:00,Francois.20120214.A.0007.fcs,TC1 2000 C,162.07,beads,18655,63247,39072,44712,52089,115.1045844,C,TC1,37.07,137.07
10/28/11 20:00,Francois.20120214.A.0007.fcs,TC1 2000 C,162.07,synecho,1241,43625,32399,30960,25996,7.657185167,C,TC1,37.07,137.07
10/28/11 20:00,Francois.20120214.A.0007.fcs,TC1 2000 C,162.07,prochloro,40329,24705,20910,17985,19706,248.8369223,C,TC1,37.07,137.07
10/28/11 20:00,Francois.20120214.A.0007.fcs,TC1 2000 C,162.07,heteroBact,68747,11628,14038,13674,13570,424.1809095,C,TC1,37.07,137.07
10/28/11 20:00,Francois.20120214.A.0008.fcs,TC1 2000 B,161.3,heteroBact,66057,11608,13799,13580,13488,409.5288283,B,TC1,37.07,137.07
10/28/11 20:00,Francois.20120213.A.0017.fcs,TC1 2000 A,158.14,prochloro,39373,24484,20268,18156,19231,248.9755912,A,TC1,37.07,137.07
10/28/11 20:00,Francois.20120213.A.0017.fcs,TC1 2000 A,158.14,heteroBact,66086,11442,13213,13897,12960,417.8955356,A,TC1,37.07,137.07
10/28/11 20:00,Francois.20120214.A.0008.fcs,TC1 2000 B,161.3,beads,12114,63232,39055,44699,52080,75.10229386,B,TC1,37.07,137.07
10/28/11 20:00,Francois.20120213.A.0017.fcs,TC1 2000 A,158.14,synecho,1529,41425,30801,29816,25256,9.668648033,A,TC1,37.07,137.07
10/28/11 20:00,Francois.20120214.A.0008.fcs,TC1 2000 B,161.3,prochloro,40514,24711,20816,18002,19691,251.1717297,B,TC1,37.07,137.07
10/28/11 20:00,Francois.20120214.A.0008.fcs,TC1 2000 B,161.3,synecho,873,46289,33012,31038,27753,5.412275263,B,TC1,37.07,137.07
10/28/11 22:00,Francois.20120213.A.0007.fcs,TC1 2200 A,155.7,heteroBact,65309,11508,13259,13216,13060,419.4540784,A,TC1,36.7,137.37
10/28/11 22:00,Francois.20120213.A.0007.fcs,TC1 2200 A,155.7,prochloro,39461,24486,20368,17747,19325,253.4425177,A,TC1,36.7,137.37
10/28/11 22:00,Francois.20120213.A.0007.fcs,TC1 2200 A,155.7,synecho,935,43504,31128,28919,27521,6.005138086,A,TC1,36.7,137.37
10/28/11 22:00,Francois.20120213.A.0007.fcs,TC1 2200 A,155.7,beads,6970,63055,38806,44456,51880,44.76557482,A,TC1,36.7,137.37
10/29/11 0:00,Francois.20120213.A.0016.fcs,TC1 2400 A,158.06,heteroBact,64986,11544,13050,14051,12846,411.1476654,A,TC1,36.44,137.67
10/29/11 0:00,Francois.20120213.A.0016.fcs,TC1 2400 A,158.06,prochloro,40426,24316,20441,18360,19366,255.7636341,A,TC1,36.44,137.67
10/29/11 0:00,Francois.20120213.A.0008.fcs,TC1 2400 C,158.5,synecho,854,42967,32034,29570,29517,5.388012618,C,TC1,36.44,137.67
10/29/11 0:00,Francois.20120213.A.0008.fcs,TC1 2400 C,158.5,prochloro,39775,24606,21125,18027,19900,250.9463722,C,TC1,36.44,137.67
10/29/11 0:00,Francois.20120213.A.0008.fcs,TC1 2400 C,158.5,heteroBact,66889,11798,13765,13332,13428,422.0126183,C,TC1,36.44,137.67
10/29/11 0:00,Francois.20120213.A.0008.fcs,TC1 2400 C,158.5,beads,9069,63416,39254,44318,52177,57.21766562,C,TC1,36.44,137.67
10/29/11 0:00,Francois.20120213.A.0016.fcs,TC1 2400 A,158.06,beads,24464,63263,38861,45253,51884,154.7766671,A,TC1,36.44,137.67
10/29/11 0:00,Francois.20120213.A.0016.fcs,TC1 2400 A,158.06,synecho,496,47826,33642,31919,31386,3.138048842,A,TC1,36.44,137.67
