file,beads,opp.evt.ratio,opp.evt.ratio2,width,offset
740_caldata/2017-02-21_740_coastal_1um.evt,3029,0.009,0.009,2500,2500
740_caldata/2017-02-21_740_oligo_0.3um.evt,5377,0.006,0.042,2500,2500
740_caldata/2017-02-21_740_oligo_0.5um.evt,5584,0.005,0.01,2500,2500
740_caldata/2017-02-21_740_oligo_0.75um.evt,3100,0.004,0.006,2500,2500
740_caldata/2017-02-21_740_oligo_1um.evt,3258,0.003,0.005,2500,2500
740_caldata/2017-02-21_740_oligo_3.1um.evt,1186,0.002,0.005,2500,2500
740_caldata/2017-02-21_740_oligo_5.7um.evt,2214,0.005,0.02,2500,2500
740_caldata/2017-02-22_740_coastal_0.5um.evt,1901,0.004,0.012,2500,2500
740_caldata/2017-02-22_740_coastal_0.75um.evt,4510,0.011,0.013,2500,2500
740_caldata/2017-02-22_740_coastal_1.83um.evt,1629,0.005,0.006,2500,2500
740_caldata/2017-02-22_740_coastal_3.1um.evt,133,0.001,0.001,2500,2500
740_caldata/2017-02-22_740_coastal_5.7um.evt,99,0.001,0.001,2500,2500
740_caldata/2017-02-22_740_oligo_1.83um.evt,2941,0.003,0.006,2500,2500
740_caldata/2017-02-21_740_coastal_1um.evt,3864,0.012,0.012,2500,5000
740_caldata/2017-02-21_740_oligo_0.3um.evt,6675,0.007,0.052,2500,5000
740_caldata/2017-02-21_740_oligo_0.5um.evt,6409,0.006,0.012,2500,5000
740_caldata/2017-02-21_740_oligo_0.75um.evt,3243,0.004,0.007,2500,5000
740_caldata/2017-02-21_740_oligo_1um.evt,3360,0.003,0.005,2500,5000
740_caldata/2017-02-21_740_oligo_3.1um.evt,1951,0.003,0.008,2500,5000
740_caldata/2017-02-21_740_oligo_5.7um.evt,2744,0.007,0.025,2500,5000
740_caldata/2017-02-22_740_coastal_0.5um.evt,2415,0.006,0.015,2500,5000
740_caldata/2017-02-22_740_coastal_0.75um.evt,5364,0.013,0.016,2500,5000
740_caldata/2017-02-22_740_coastal_1.83um.evt,2208,0.007,0.007,2500,5000
740_caldata/2017-02-22_740_coastal_3.1um.evt,554,0.005,0.005,2500,5000
740_caldata/2017-02-22_740_coastal_5.7um.evt,124,0.001,0.002,2500,5000
740_caldata/2017-02-22_740_oligo_1.83um.evt,5458,0.006,0.011,2500,5000
740_caldata/2017-02-21_740_coastal_1um.evt,4509,0.013,0.013,2500,7500
740_caldata/2017-02-21_740_oligo_0.3um.evt,8412,0.009,0.065,2500,7500
740_caldata/2017-02-21_740_oligo_0.5um.evt,7401,0.007,0.014,2500,7500
740_caldata/2017-02-21_740_oligo_0.75um.evt,3377,0.004,0.007,2500,7500
740_caldata/2017-02-21_740_oligo_1um.evt,3453,0.003,0.005,2500,7500
740_caldata/2017-02-21_740_oligo_3.1um.evt,3033,0.005,0.012,2500,7500
740_caldata/2017-02-21_740_oligo_5.7um.evt,3365,0.008,0.03,2500,7500
740_caldata/2017-02-22_740_coastal_0.5um.evt,2887,0.007,0.018,2500,7500
740_caldata/2017-02-22_740_coastal_0.75um.evt,5725,0.013,0.017,2500,7500
740_caldata/2017-02-22_740_coastal_1.83um.evt,2619,0.009,0.009,2500,7500
740_caldata/2017-02-22_740_coastal_3.1um.evt,771,0.007,0.008,2500,7500
740_caldata/2017-02-22_740_coastal_5.7um.evt,142,0.001,0.002,2500,7500
740_caldata/2017-02-22_740_oligo_1.83um.evt,8573,0.01,0.017,2500,7500
740_caldata/2017-02-21_740_coastal_1um.evt,5178,0.015,0.015,2500,10000
740_caldata/2017-02-21_740_oligo_0.3um.evt,10253,0.011,0.08,2500,10000
740_caldata/2017-02-21_740_oligo_0.5um.evt,8565,0.008,0.016,2500,10000
740_caldata/2017-02-21_740_oligo_0.75um.evt,3552,0.004,0.007,2500,10000
740_caldata/2017-02-21_740_oligo_1um.evt,3583,0.003,0.006,2500,10000
740_caldata/2017-02-21_740_oligo_3.1um.evt,4526,0.007,0.018,2500,10000
740_caldata/2017-02-21_740_oligo_5.7um.evt,4107,0.01,0.036,2500,10000
740_caldata/2017-02-22_740_coastal_0.5um.evt,3323,0.008,0.021,2500,10000
740_caldata/2017-02-22_740_coastal_0.75um.evt,5928,0.014,0.017,2500,10000
740_caldata/2017-02-22_740_coastal_1.83um.evt,2930,0.01,0.01,2500,10000
740_caldata/2017-02-22_740_coastal_3.1um.evt,880,0.008,0.009,2500,10000
740_caldata/2017-02-22_740_coastal_5.7um.evt,575,0.006,0.008,2500,10000
740_caldata/2017-02-22_740_oligo_1.83um.evt,12578,0.015,0.025,2500,10000
