instrument,regime,D1/D2,m_A,m_B
740,coastal,D2,0.62,2.17
740,oligo,D2,0.89,1.95
740,coastal,D1,0.77,1.66
740,oligo,D1,0.73,1.46
751,coastal,D2,0.63,2.3
751,oligo,D2,0.62,2.6
751,coastal,D1,0.72,1.48
751,oligo,D1,0.74,1.71
989,coastal,D2,0.87,1.64
989,oligo,D2,0.91,1.75
989,coastal,D1,0.83,1.63
989,oligo,D1,0.83,1.6
