file,beads,fsc.med,fsc.low,fsc.high,d1.med,d1.low,d1.high,d2.med,d2.high,d2.low
751_caldata/2017-02-17_751_coastal_0.5um.evt,810,25552,24816,26160,19696,16718.4,23264,19936,23840,16874.8
751_caldata/2017-02-17_751_coastal_0.75um.evt,1195,36800,36429.6,37056,26320,25520,28164.8,26528,28608,24107.2
751_caldata/2017-02-17_751_coastal_1um.evt,505,41664,41209.6,41878.4,29120,28505.6,29696,28896,31392,26544
751_caldata/2017-02-17_751_coastal_3.1um.evt,86,45808,44942,46472,38336,36564,41926,39032,42118,37408
751_caldata/2017-02-17_751_coastal_5.7um.evt,53,50816,50340.8,51260.8,47008,45747.2,49974.4,48096,49451.2,46612.8
751_caldata/2017-02-17_751_oligo_0.18um.evt,1031,2784,1552,5536,10864,7068,12240,11296,14240,7000
751_caldata/2017-02-17_751_oligo_0.3um.evt,314,19568,17789.2,20530.8,10392,6050,12968.4,10488,14642.8,5856
751_caldata/2017-02-17_751_oligo_0.5um.evt,222,38592,37120.8,39231.2,22240,18058,24263.6,22336,25688.8,18408.4
751_caldata/2017-02-17_751_oligo_0.75um.evt,894,48560,48000,48960,28944,28037.2,31920,29344,32438,26512
751_caldata/2017-02-17_751_oligo_1.83um.evt,419,57776,56743.2,58648.8,41136,38208.8,43824,41168,44705.6,37390.4
751_caldata/2017-02-17_751_oligo_1um.evt,1824,53552,53120,53872,32096,30816,33296,31888,34998.8,28921.2
751_caldata/2017-02-17_751_oligo_3.1um.evt,136,57360,56498,57856,39520,38622,40974,40712,42118,39110
751_caldata/2017-02-17_751_oligo_5.7um.evt,17,62080,61702.4,62361.6,48000,47030.4,49920,48880,50492.8,47571.2
751_caldata/2017-02-18_751_coastal_0.3um.evt,1651,7136,5268,8544,6912,5076,9180,6944,9840,4608
751_caldata/2017-02-18_751_coastal_1.83um.evt,603,45696,44228,46720,36256,34052,38255.2,36704,39583.2,33584.8
