file,beads,fsc.med,fsc.low,fsc.high,d1.med,d1.low,d1.high,d2.med,d2.high,d2.low
989_caldata/2017-02-28_989_coastal_1.0um.evt,2456,40544,39520,41184,25408,23408,27952,25104,28096,23654
989_caldata/2017-02-28_989_coastal_3.1um.evt,921,45152,44512,45808,34464,32256,37088,34512,38160,32112
989_caldata/2017-02-28_989_coastal_5.7um.evt,468,51088,50448,51520,39424,36698.8,42384,38992,43642.4,38026.8
989_caldata/2017-02-28_989_oligo_0.3um.evt,1566,15504,13808,17184,4304,1392,7200,4192,8190,1216
989_caldata/2017-02-28_989_oligo_0.5um.evt,1914,34624,33517.2,35472,16784,13104,19808,16664,20912,12733.2
989_caldata/2017-02-28_989_oligo_0.75um.evt,3322,45840,44832,46480,24560,22112,27296,24288,27760,22432.4
989_caldata/2017-02-28_989_oligo_1.0um.evt,2770,50528,49568,51088,28016,26000,30544,27920,30816,26339.6
989_caldata/2017-02-28_989_oligo_1.83um.evt,1214,54960,53738.4,55978.8,35096,32399.6,37946.8,35312,38874.8,32101.2
989_caldata/2017-02-28_989_oligo_3.1um.evt,937,54976,54304,55600,35920,34038.4,38336,35856,39708.8,33644.8
989_caldata/2017-02-28_989_oligo_5.7um.evt,522,60416,59792.4,60832,42592,39264.4,45264,42000,45886.8,40992.4
989_caldata/2017-03-01_989_coastal_0.3um.evt,6080,3632,2176,5600,1840,0,4064,1488,4768,0
989_caldata/2017-03-01_989_coastal_0.5um.evt,4549,23872,22832,24800,14224,11104,17264,14160,18336,11179.2
989_caldata/2017-03-01_989_coastal_0.75um.evt,3818,35536,34464,36272,22448,20224,24704,22088,25097.2,20592
989_caldata/2017-03-01_989_coastal_1.83um.evt,2404,45136,43761.2,46336,33424,30368,35758.8,33432,36510.8,30144
