file,beads,opp.evt.ratio,opp.evt.ratio2,width,offset
989_caldata/2017-02-28_989_coastal_1.0um.evt,2904,0.006,0.013,2500,2500
989_caldata/2017-02-28_989_coastal_3.1um.evt,310,0.001,0.001,2500,2500
989_caldata/2017-02-28_989_coastal_5.7um.evt,484,0.001,0.004,2500,2500
989_caldata/2017-02-28_989_oligo_0.3um.evt,3930,0.005,0.023,2500,2500
989_caldata/2017-02-28_989_oligo_0.5um.evt,3624,0.005,0.008,2500,2500
989_caldata/2017-02-28_989_oligo_0.75um.evt,4741,0.006,0.009,2500,2500
989_caldata/2017-02-28_989_oligo_1.0um.evt,4188,0.005,0.011,2500,2500
989_caldata/2017-02-28_989_oligo_1.83um.evt,1815,0.002,0.01,2500,2500
989_caldata/2017-02-28_989_oligo_3.1um.evt,1882,0.002,0.005,2500,2500
989_caldata/2017-02-28_989_oligo_5.7um.evt,945,0.002,0.007,2500,2500
989_caldata/2017-03-01_989_coastal_0.3um.evt,116,0,0.193,2500,2500
989_caldata/2017-03-01_989_coastal_0.5um.evt,4923,0.01,0.026,2500,2500
989_caldata/2017-03-01_989_coastal_0.75um.evt,4185,0.009,0.022,2500,2500
989_caldata/2017-03-01_989_coastal_1.83um.evt,1298,0.003,0.005,2500,2500
989_caldata/2017-02-28_989_coastal_1.0um.evt,3312,0.007,0.015,2500,5000
989_caldata/2017-02-28_989_coastal_3.1um.evt,981,0.002,0.004,2500,5000
989_caldata/2017-02-28_989_coastal_5.7um.evt,618,0.001,0.005,2500,5000
989_caldata/2017-02-28_989_oligo_0.3um.evt,5111,0.007,0.03,2500,5000
989_caldata/2017-02-28_989_oligo_0.5um.evt,4113,0.005,0.009,2500,5000
989_caldata/2017-02-28_989_oligo_0.75um.evt,4932,0.006,0.009,2500,5000
989_caldata/2017-02-28_989_oligo_1.0um.evt,4285,0.005,0.011,2500,5000
989_caldata/2017-02-28_989_oligo_1.83um.evt,1860,0.003,0.01,2500,5000
989_caldata/2017-02-28_989_oligo_3.1um.evt,2026,0.003,0.006,2500,5000
989_caldata/2017-02-28_989_oligo_5.7um.evt,1026,0.002,0.007,2500,5000
989_caldata/2017-03-01_989_coastal_0.3um.evt,126,0,0.21,2500,5000
989_caldata/2017-03-01_989_coastal_0.5um.evt,6225,0.012,0.032,2500,5000
989_caldata/2017-03-01_989_coastal_0.75um.evt,4837,0.01,0.025,2500,5000
989_caldata/2017-03-01_989_coastal_1.83um.evt,2519,0.005,0.01,2500,5000
989_caldata/2017-02-28_989_coastal_1.0um.evt,3525,0.007,0.016,2500,7500
989_caldata/2017-02-28_989_coastal_3.1um.evt,1293,0.003,0.006,2500,7500
989_caldata/2017-02-28_989_coastal_5.7um.evt,714,0.002,0.005,2500,7500
989_caldata/2017-02-28_989_oligo_0.3um.evt,6484,0.008,0.038,2500,7500
989_caldata/2017-02-28_989_oligo_0.5um.evt,4624,0.006,0.01,2500,7500
989_caldata/2017-02-28_989_oligo_0.75um.evt,5107,0.006,0.01,2500,7500
989_caldata/2017-02-28_989_oligo_1.0um.evt,4364,0.006,0.012,2500,7500
989_caldata/2017-02-28_989_oligo_1.83um.evt,1897,0.003,0.011,2500,7500
989_caldata/2017-02-28_989_oligo_3.1um.evt,2180,0.003,0.006,2500,7500
989_caldata/2017-02-28_989_oligo_5.7um.evt,1090,0.002,0.008,2500,7500
989_caldata/2017-03-01_989_coastal_0.3um.evt,136,0,0.227,2500,7500
989_caldata/2017-03-01_989_coastal_0.5um.evt,7099,0.014,0.037,2500,7500
989_caldata/2017-03-01_989_coastal_0.75um.evt,5067,0.01,0.027,2500,7500
989_caldata/2017-03-01_989_coastal_1.83um.evt,2952,0.006,0.011,2500,7500
989_caldata/2017-02-28_989_coastal_1.0um.evt,3730,0.007,0.017,2500,10000
989_caldata/2017-02-28_989_coastal_3.1um.evt,1478,0.003,0.006,2500,10000
989_caldata/2017-02-28_989_coastal_5.7um.evt,790,0.002,0.006,2500,10000
989_caldata/2017-02-28_989_oligo_0.3um.evt,8230,0.01,0.048,2500,10000
989_caldata/2017-02-28_989_oligo_0.5um.evt,5162,0.006,0.011,2500,10000
989_caldata/2017-02-28_989_oligo_0.75um.evt,5242,0.007,0.01,2500,10000
989_caldata/2017-02-28_989_oligo_1.0um.evt,4485,0.006,0.012,2500,10000
989_caldata/2017-02-28_989_oligo_1.83um.evt,1928,0.003,0.011,2500,10000
989_caldata/2017-02-28_989_oligo_3.1um.evt,2313,0.003,0.006,2500,10000
989_caldata/2017-02-28_989_oligo_5.7um.evt,1173,0.003,0.008,2500,10000
989_caldata/2017-03-01_989_coastal_0.3um.evt,145,0,0.242,2500,10000
989_caldata/2017-03-01_989_coastal_0.5um.evt,7797,0.015,0.041,2500,10000
989_caldata/2017-03-01_989_coastal_0.75um.evt,5223,0.011,0.027,2500,10000
989_caldata/2017-03-01_989_coastal_1.83um.evt,3107,0.006,0.012,2500,10000
