V1,V2
34911.0363735689,37336.9010929799
18904.3740671851,27661.397354016
20260.0707630272,12595.903875482
30125.3078752651,9638.4455754035
43817.4778510193,19906.4593510086
49310.8451925888,28031.2532284506
45680.9879136609,34795.5885139486
