file,beads.d1,beads.d2
251.evt,20288,20992
238.evt,21472,22624
270.evt,20336,21568
418.evt,20144,20160
321.evt,18432,20560
2.evt,19024,18112
55.evt,19056,20112
151.evt,17328,16240
16.evt,17584,19296
346.evt,18592,19488
309.evt,17296,19328
364.evt,18000,18640
258.evt,17424,17824
70.evt,14880,17312
319.evt,20432,22432
163.evt,20480,20976
295.evt,20464,21408
407.evt,18784,20048
392.evt,17456,17312
393.evt,19104,21024
231.evt,19568,21280
286.evt,20960,23184
409.evt,19712,20688
