file,n.opp,n.opp.,n.evt,n.evt.,beads,pro,syn,pico,width,corr,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2
2013_094/321.evt,1511,1511,1513600,1398317,3,0,12,315,5000,2500,-9819,-9083,-44496,-42201,0.658,0.657,1.37,1.337
2013_094/321.evt,2738,2738,1513600,1398317,5,0,13,389,5000,5000,-7319,-6583,-41996,-39701,0.658,0.657,1.37,1.337
2013_094/321.evt,5272,5272,1513600,1398317,5,0,15,421,5000,7500,-4819,-4083,-39496,-37201,0.658,0.657,1.37,1.337
2013_094/321.evt,8811,8811,1513600,1398317,6,1,15,442,5000,10000,-2319,-1583,-36996,-34701,0.658,0.657,1.37,1.337
2013_094/321.evt,12504,11633,1513600,1398317,6,1,16,446,5000,1,0,0,-46995,-44700,0.658,0.657,1.37,1.337
2013_094/321.evt,9870,9870,1513600,1398317,1,1,15,262,5000,2,0,0,-46994,-44699,0.405059132720105,0.419185282522996,1.37,1.337
2013_094/321.evt,10447,10447,1513600,1398317,3,1,15,332,5000,3,0,0,-44496,-42201,0.45638961892247,0.45638961892247,1.37,1.337
2013_094/321.evt,9138,9138,1513600,1398317,0,1,14,149,5000,4,0,0,-49496,-47201,0.35372864651774,0.367854796320631,1.37,1.337
2013_096/2.evt,1485,1485,1746875,1669676,2,739,36,214,5000,0,-12319,-11583,-46996,-44701,0.658,0.657,1.37,1.337
2013_096/2.evt,4995,4995,1746875,1669676,6,3978,39,355,5000,2500,-9819,-9083,-44496,-42201,0.658,0.657,1.37,1.337
2013_096/2.evt,12401,12401,1746875,1669676,6,11185,40,451,5000,5000,-7319,-6583,-41996,-39701,0.658,0.657,1.37,1.337
2013_096/2.evt,21750,21750,1746875,1669676,6,20389,45,510,5000,7500,-4819,-4083,-39496,-37201,0.658,0.657,1.37,1.337
2013_096/2.evt,29603,29603,1746875,1669676,7,28112,49,546,5000,10000,-2319,-1583,-36996,-34701,0.658,0.657,1.37,1.337
2013_096/2.evt,35022,34462,1746875,1669676,7,32606,55,552,5000,1,0,0,-46995,-44700,0.658,0.657,1.37,1.337
2013_096/2.evt,28686,28686,1746875,1669676,2,27122,40,235,5000,2,0,0,-46994,-44699,0.405059132720105,0.419185282522996,1.37,1.337
2013_096/2.evt,30159,30159,1746875,1669676,6,28345,43,368,5000,3,0,0,-44496,-42201,0.45638961892247,0.45638961892247,1.37,1.337
2013_096/2.evt,26762,26762,1746875,1669676,0,25501,39,74,5000,4,0,0,-49496,-47201,0.35372864651774,0.367854796320631,1.37,1.337
2013_100/55.evt,968,968,1420288,1328910,5,122,62,282,5000,0,-12319,-11583,-46996,-44701,0.658,0.657,1.37,1.337
2013_100/55.evt,2250,2250,1420288,1328910,47,1035,86,421,5000,2500,-9819,-9083,-44496,-42201,0.658,0.657,1.37,1.337
2013_100/55.evt,6038,6038,1420288,1328910,66,4585,102,520,5000,5000,-7319,-6583,-41996,-39701,0.658,0.657,1.37,1.337
2013_100/55.evt,12415,12415,1420288,1328910,71,10797,119,572,5000,7500,-4819,-4083,-39496,-37201,0.658,0.657,1.37,1.337
2013_100/55.evt,18821,18821,1420288,1328910,81,17060,126,618,5000,10000,-2319,-1583,-36996,-34701,0.658,0.657,1.37,1.337
2013_100/55.evt,23510,22858,1420288,1328910,84,21092,128,629,5000,1,0,0,-46995,-44700,0.658,0.657,1.37,1.337
2013_100/55.evt,19098,19098,1420288,1328910,5,17474,107,321,5000,2,0,0,-46994,-44699,0.405059132720105,0.419185282522996,1.37,1.337
2013_100/55.evt,20186,20186,1420288,1328910,43,18311,114,443,5000,3,0,0,-44496,-42201,0.45638961892247,0.45638961892247,1.37,1.337
2013_100/55.evt,17706,17706,1420288,1328910,0,16384,99,121,5000,4,0,0,-49496,-47201,0.35372864651774,0.367854796320631,1.37,1.337
2013_101/151.evt,1078,1078,1703552,1576826,108,8,25,245,5000,0,-12319,-11583,-46996,-44701,0.658,0.657,1.37,1.337
2013_101/151.evt,2262,2262,1703552,1576826,351,510,52,338,5000,2500,-9819,-9083,-44496,-42201,0.658,0.657,1.37,1.337
2013_101/151.evt,5475,5475,1703552,1576826,446,3397,79,373,5000,5000,-7319,-6583,-41996,-39701,0.658,0.657,1.37,1.337
2013_101/151.evt,12829,12829,1703552,1576826,497,10544,91,404,5000,7500,-4819,-4083,-39496,-37201,0.658,0.657,1.37,1.337
2013_101/151.evt,21974,21974,1703552,1576826,526,19543,97,428,5000,10000,-2319,-1583,-36996,-34701,0.658,0.657,1.37,1.337
2013_101/151.evt,29141,27908,1703552,1576826,541,26431,104,435,5000,1,0,0,-46995,-44700,0.658,0.657,1.37,1.337
2013_101/151.evt,23663,23663,1703552,1576826,122,21871,91,273,5000,2,0,0,-46994,-44699,0.405059132720105,0.419185282522996,1.37,1.337
2013_101/151.evt,25027,25027,1703552,1576826,348,22845,93,342,5000,3,0,0,-44496,-42201,0.45638961892247,0.45638961892247,1.37,1.337
2013_101/151.evt,21914,21914,1703552,1576826,4,20508,86,138,5000,4,0,0,-49496,-47201,0.35372864651774,0.367854796320631,1.37,1.337
2013_103/16.evt,1170,1170,1954432,1849875,25,316,45,284,5000,0,-12319,-11583,-46996,-44701,0.658,0.657,1.37,1.337
2013_103/16.evt,3495,3495,1954432,1849875,61,2340,55,409,5000,2500,-9819,-9083,-44496,-42201,0.658,0.657,1.37,1.337
2013_103/16.evt,9461,9461,1954432,1849875,88,8097,64,494,5000,5000,-7319,-6583,-41996,-39701,0.658,0.657,1.37,1.337
2013_103/16.evt,18453,18453,1954432,1849875,99,16963,68,546,5000,7500,-4819,-4083,-39496,-37201,0.658,0.657,1.37,1.337
2013_103/16.evt,27066,27066,1954432,1849875,104,25469,73,577,5000,10000,-2319,-1583,-36996,-34701,0.658,0.657,1.37,1.337
2013_103/16.evt,33351,32549,1954432,1849875,106,31077,75,588,5000,1,0,0,-46995,-44700,0.658,0.657,1.37,1.337
2013_103/16.evt,27354,27354,1954432,1849875,26,25789,63,320,5000,2,0,0,-46994,-44699,0.405059132720105,0.419185282522996,1.37,1.337
