file,i,n.opp,n.opp2,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width
2013_088/251.evt,mean,20667,20667,1324416,1262477,6,16004,2032,736,0,0,-34029,0,-32498,2500
2013_088/251.evt,97.5,19792,19792,1324416,1262477,6,15687,2002,735,0,-1147,-48080,-1003,-48222,2500
2013_088/251.evt,2.5,70026,21316,1324416,1262477,6,16288,2061,742,0,1147,-20025,1004,-16727,2500
2013_090/238.evt,mean,19926,19926,1323776,1238339,8,15537,667,571,0,0,-34029,0,-32498,2500
2013_090/238.evt,97.5,18564,18564,1323776,1238339,8,15154,663,570,0,-1147,-48080,-1003,-48222,2500
2013_090/238.evt,2.5,90243,20807,1323776,1238339,8,15877,670,567,0,1147,-20025,1004,-16727,2500
2013_091/270.evt,mean,21612,21612,1349376,1241312,6,18254,360,432,0,0,-34029,0,-32498,2500
2013_091/270.evt,97.5,19758,19758,1349376,1241312,6,17643,357,432,0,-1147,-48080,-1003,-48222,2500
2013_091/270.evt,2.5,117006,22801,1349376,1241312,6,18657,361,431,0,1147,-20025,1004,-16727,2500
2013_092/418.evt,mean,24936,24936,1798912,1684030,9,22872,222,218,0,0,-34029,0,-32498,2500
2013_092/418.evt,97.5,23438,23438,1798912,1684030,9,22166,221,218,0,-1147,-48080,-1003,-48222,2500
2013_092/418.evt,2.5,150870,26026,1798912,1684030,9,23383,224,214,0,1147,-20025,1004,-16727,2500
2013_094/321.evt,mean,10082,10082,1513600,1398317,4,1,10,288,0,0,-34029,0,-32498,2500
2013_094/321.evt,97.5,8514,8514,1513600,1398317,4,1,10,289,0,-1147,-48080,-1003,-48222,2500
2013_094/321.evt,2.5,143237,11144,1513600,1398317,4,1,10,287,0,1147,-20025,1004,-16727,2500
2013_096/2.evt,mean,26313,26313,1746875,1669676,7,24444,26,402,0,0,-34029,0,-32498,2500
2013_096/2.evt,97.5,24792,24792,1746875,1669676,7,23563,25,404,0,-1147,-48080,-1003,-48222,2500
2013_096/2.evt,2.5,116862,27457,1746875,1669676,7,25137,26,394,0,1147,-20025,1004,-16727,2500
2013_100/55.evt,mean,18359,18359,1420288,1328910,48,16629,61,423,0,0,-34029,0,-32498,2500
2013_100/55.evt,97.5,16846,16846,1420288,1328910,48,15676,61,426,0,-1147,-48080,-1003,-48222,2500
2013_100/55.evt,2.5,133756,19458,1420288,1328910,48,17292,61,422,0,1147,-20025,1004,-16727,2500
2013_101/151.evt,mean,23669,23669,1703552,1576826,293,21964,74,233,0,0,-34029,0,-32498,2500
2013_101/151.evt,97.5,21078,21078,1703552,1576826,293,19538,73,235,0,-1147,-48080,-1003,-48222,2500
2013_101/151.evt,2.5,171483,25468,1703552,1576826,293,23593,74,233,0,1147,-20025,1004,-16727,2500
2013_103/16.evt,mean,25839,25839,1954432,1849875,61,24153,48,400,0,0,-34029,0,-32498,2500
2013_103/16.evt,97.5,23837,23837,1954432,1849875,61,22665,48,404,0,-1147,-48080,-1003,-48222,2500
2013_103/16.evt,2.5,163068,27286,1954432,1849875,61,25151,48,398,0,1147,-20025,1004,-16727,2500
2013_104/346.evt,mean,25478,25478,2195328,2131473,174,23447,222,363,0,0,-34029,0,-32498,2500
2013_104/346.evt,97.5,23959,23959,2195328,2131473,174,22556,219,365,0,-1147,-48080,-1003,-48222,2500
2013_104/346.evt,2.5,116902,26693,2195328,2131473,174,24150,223,359,0,1147,-20025,1004,-16727,2500
2013_105/309.evt,mean,24745,24745,1939712,1869810,118,22434,195,274,0,0,-34029,0,-32498,2500
2013_105/309.evt,97.5,23507,23507,1939712,1869810,118,21935,190,276,0,-1147,-48080,-1003,-48222,2500
2013_105/309.evt,2.5,124269,25703,1939712,1869810,118,22844,196,270,0,1147,-20025,1004,-16727,2500
2013_106/364.evt,mean,23705,23705,1883264,1814930,95,21011,212,279,0,0,-34029,0,-32498,2500
