file,n.opp,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width,corr
2013_096/2.evt,269064,1746875,1669676,8,28175,31,437,0,5507.5,-28521.5,5507.5,-26990.5,2500,5507.5
2013_096/2.evt,3574,1746875,1669676,6,2864,20,275,0,-10000,-44029,-10000,-42498,2500,-10000
2013_096/2.evt,9358,1746875,1669676,6,8555,21,332,0,-7500,-41529,-7500,-39998,2500,-7500
2013_096/2.evt,16792,1746875,1669676,6,15908,22,362,0,-5000,-39029,-5000,-37498,2500,-5000
2013_096/2.evt,22256,1746875,1669676,6,21306,22,380,0,-2500,-36529,-2500,-34998,2500,-2500
2013_096/2.evt,26313,1746875,1669676,7,24444,26,402,0,0,-34029,0,-32498,2500,0
2013_096/2.evt,227567,1746875,1669676,7,26238,27,418,0,2500,-31529,2500,-29998,2500,2500
2013_096/2.evt,263911,1746875,1669676,7,27833,31,435,0,5000,-29029,5000,-27498,2500,5000
2013_096/2.evt,285966,1746875,1669676,8,29608,34,447,0,7500,-26529,7500,-24998,2500,7500
2013_096/2.evt,303497,1746875,1669676,8,31812,36,465,0,10000,-24029,10000,-22498,2500,10000
2013_100/55.evt,320668,1420288,1328910,51,19164,70,459,0,5507.5,-28521.5,5507.5,-26990.5,2500,5507.5
2013_100/55.evt,1492,1420288,1328910,34,666,48,300,0,-10000,-44029,-10000,-42498,2500,-10000
2013_100/55.evt,4207,1420288,1328910,41,3266,54,355,0,-7500,-41529,-7500,-39998,2500,-7500
2013_100/55.evt,9358,1420288,1328910,44,8341,58,379,0,-5000,-39029,-5000,-37498,2500,-5000
2013_100/55.evt,14317,1420288,1328910,47,13232,61,405,0,-2500,-36529,-2500,-34998,2500,-2500
2013_100/55.evt,18359,1420288,1328910,48,16629,61,423,0,0,-34029,0,-32498,2500,0
2013_100/55.evt,275309,1420288,1328910,49,18034,65,443,0,2500,-31529,2500,-29998,2500,2500
2013_100/55.evt,315300,1420288,1328910,51,18980,70,459,0,5000,-29029,5000,-27498,2500,5000
2013_100/55.evt,337649,1420288,1328910,51,19903,70,476,0,7500,-26529,7500,-24998,2500,7500
2013_100/55.evt,353606,1420288,1328910,51,20805,76,496,0,10000,-24029,10000,-22498,2500,10000
2013_101/151.evt,399992,1703552,1576826,325,26848,79,267,0,5507.5,-28521.5,5507.5,-26990.5,2500,5507.5
2013_101/151.evt,1439,1703552,1576826,209,311,34,185,0,-10000,-44029,-10000,-42498,2500,-10000
2013_101/151.evt,3635,1703552,1576826,252,2348,56,202,0,-7500,-41529,-7500,-39998,2500,-7500
2013_101/151.evt,9506,1703552,1576826,276,8117,68,215,0,-5000,-39029,-5000,-37498,2500,-5000
2013_101/151.evt,16767,1703552,1576826,285,15320,70,227,0,-2500,-36529,-2500,-34998,2500,-2500
2013_101/151.evt,23669,1703552,1576826,293,21964,74,233,0,0,-34029,0,-32498,2500,0
2013_101/151.evt,344669,1703552,1576826,307,25129,75,245,0,2500,-31529,2500,-29998,2500,2500
2013_101/151.evt,393255,1703552,1576826,323,26590,78,263,0,5000,-29029,5000,-27498,2500,5000
2013_101/151.evt,421136,1703552,1576826,330,27919,82,275,0,7500,-26529,7500,-24998,2500,7500
2013_101/151.evt,441808,1703552,1576826,337,29271,86,289,0,10000,-24029,10000,-22498,2500,10000
2013_103/16.evt,390876,1954432,1849875,68,28318,50,436,0,5507.5,-28521.5,5507.5,-26990.5,2500,5507.5
2013_103/16.evt,2378,1954432,1849875,45,1577,40,299,0,-10000,-44029,-10000,-42498,2500,-10000
2013_103/16.evt,6904,1954432,1849875,55,5994,43,345,0,-7500,-41529,-7500,-39998,2500,-7500
2013_103/16.evt,14063,1954432,1849875,59,13089,45,369,0,-5000,-39029,-5000,-37498,2500,-5000
2013_103/16.evt,20470,1954432,1849875,61,19445,48,384,0,-2500,-36529,-2500,-34998,2500,-2500
2013_103/16.evt,25839,1954432,1849875,61,24153,48,400,0,0,-34029,0,-32498,2500,0
2013_103/16.evt,333423,1954432,1849875,64,26373,49,416,0,2500,-31529,2500,-29998,2500,2500
2013_103/16.evt,384005,1954432,1849875,67,28012,50,429,0,5000,-29029,5000,-27498,2500,5000
2013_103/16.evt,412556,1954432,1849875,68,29759,53,456,0,7500,-26529,7500,-24998,2500,7500
2013_103/16.evt,434303,1954432,1849875,68,31591,55,474,0,10000,-24029,10000,-22498,2500,10000
2013_104/346.evt,297417,2195328,2131473,196,28112,255,398,0,5507.5,-28521.5,5507.5,-26990.5,2500,5507.5
2013_104/346.evt,5680,2195328,2131473,103,4888,156,265,0,-10000,-44029,-10000,-42498,2500,-10000
2013_104/346.evt,10894,2195328,2131473,135,9984,177,296,0,-7500,-41529,-7500,-39998,2500,-7500
2013_104/346.evt,16643,2195328,2131473,156,15645,188,325,0,-5000,-39029,-5000,-37498,2500,-5000
2013_104/346.evt,21298,2195328,2131473,166,20208,201,347,0,-2500,-36529,-2500,-34998,2500,-2500
2013_104/346.evt,25478,2195328,2131473,174,23447,222,363,0,0,-34029,0,-32498,2500,0
2013_104/346.evt,242748,2195328,2131473,189,25558,241,379,0,2500,-31529,2500,-29998,2500,2500
2013_104/346.evt,290401,2195328,2131473,193,27661,251,393,0,5000,-29029,5000,-27498,2500,5000
2013_104/346.evt,319806,2195328,2131473,199,29966,266,410,0,7500,-26529,7500,-24998,2500,7500
2013_104/346.evt,343010,2195328,2131473,203,32805,273,432,0,10000,-24029,10000,-22498,2500,10000
2013_105/309.evt,294855,1939712,1869810,125,25665,227,306,0,5507.5,-28521.5,5507.5,-26990.5,2500,5507.5
2013_105/309.evt,7114,1939712,1869810,77,6497,139,189,0,-10000,-44029,-10000,-42498,2500,-10000
2013_105/309.evt,12313,1939712,1869810,95,11613,150,218,0,-7500,-41529,-7500,-39998,2500,-7500
2013_105/309.evt,17510,1939712,1869810,102,16736,161,245,0,-5000,-39029,-5000,-37498,2500,-5000
2013_105/309.evt,21410,1939712,1869810,110,20477,176,261,0,-2500,-36529,-2500,-34998,2500,-2500
2013_105/309.evt,24745,1939712,1869810,118,22434,195,274,0,0,-34029,0,-32498,2500,0
2013_105/309.evt,252769,1939712,1869810,119,23883,209,283,0,2500,-31529,2500,-29998,2500,2500
2013_105/309.evt,289867,1939712,1869810,125,25326,225,305,0,5000,-29029,5000,-27498,2500,5000
2013_105/309.evt,311300,1939712,1869810,127,27213,238,320,0,7500,-26529,7500,-24998,2500,7500
2013_105/309.evt,328280,1939712,1869810,132,29471,251,339,0,10000,-24029,10000,-22498,2500,10000
2013_106/364.evt,282077,1883264,1814930,108,23689,243,316,0,5507.5,-28521.5,5507.5,-26990.5,2500,5507.5
2013_106/364.evt,10011,1883264,1814930,50,9446,168,204,0,-10000,-44029,-10000,-42498,2500,-10000
