file,n.opp,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width,corr
2013_088/251.evt,6250,1324416,1262477,6,4426,1119,404,-5920,136,-33892,-136,-32635,2500,-4287.5
2013_088/251.evt,102352,1324416,1262477,6,14464,2198,707,-5920,15849,-18180,15576,-16922,2500,-20000
2013_088/251.evt,87719,1324416,1262477,6,12612,2004,636,-5920,13349,-20680,13076,-19422,2500,-17500
2013_088/251.evt,74508,1324416,1262477,6,10811,1835,575,-5920,10849,-23180,10576,-21922,2500,-15000
2013_088/251.evt,57549,1324416,1262477,6,9153,1679,527,-5920,8349,-25680,8076,-24422,2500,-12500
2013_088/251.evt,29671,1324416,1262477,6,7768,1489,486,-5920,5849,-28180,5576,-26922,2500,-10000
2013_088/251.evt,8713,1324416,1262477,6,6400,1325,448,-5920,3349,-30680,3076,-29422,2500,-7500
2013_088/251.evt,6787,1324416,1262477,6,4892,1160,410,-5920,849,-33180,576,-31922,2500,-5000
2013_088/251.evt,4783,1324416,1262477,6,3136,1005,369,-5920,-1651,-35680,-1924,-34422,2500,-2500
2013_088/251.evt,2907,1324416,1262477,4,1548,845,301,-5920,-4151,-38180,-4424,-36922,2500,0
2013_088/251.evt,1540,1324416,1262477,1,514,685,189,-5920,-6651,-40680,-6924,-39422,2500,2500
2013_088/251.evt,781,1324416,1262477,0,112,486,86,-5920,-9151,-43180,-9424,-41922,2500,5000
2013_088/251.evt,313,1324416,1262477,0,4,236,30,-5920,-11651,-45680,-11924,-44422,2500,7500
2013_088/251.evt,114,1324416,1262477,0,0,87,7,-5920,-14151,-48180,-14424,-46922,2500,10000
2013_088/251.evt,15,1324416,1262477,0,0,11,1,-5920,-16651,-50680,-16924,-49422,2500,12500
2013_090/238.evt,3601,1323776,1238339,11,2578,373,237,-5760,136,-33892,-136,-32635,2500,-4287.5
2013_090/238.evt,123128,1323776,1238339,11,11671,622,478,-5760,15849,-18180,15576,-16922,2500,-20000
2013_090/238.evt,104114,1323776,1238339,11,10359,587,422,-5760,13349,-20680,13076,-19422,2500,-17500
2013_090/238.evt,87598,1323776,1238339,11,8829,554,368,-5760,10849,-23180,10576,-21922,2500,-15000
2013_090/238.evt,67110,1323776,1238339,11,7382,527,341,-5760,8349,-25680,8076,-24422,2500,-12500
2013_090/238.evt,32880,1323776,1238339,11,6186,476,321,-5760,5849,-28180,5576,-26922,2500,-10000
2013_090/238.evt,6921,1323776,1238339,11,4873,432,289,-5760,3349,-30680,3076,-29422,2500,-7500
2013_090/238.evt,4218,1323776,1238339,11,3132,390,253,-5760,849,-33180,576,-31922,2500,-5000
