file,n.opp,n.opp.,n.evt,n.evt.,beads,pro,syn,pico,width,corr,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2
2011_274/75.evt,5730,5730,3388416,3388414,2,46,2715,2157,5000,2500,-3514,-3820,-36129,-34969,0.658,0.657,1.37,1.337
2011_274/75.evt,10504,10504,3388416,3388414,2,143,5560,3353,5000,5000,-1014,-1320,-33629,-32469,0.658,0.657,1.37,1.337
2011_274/75.evt,16760,16730,3388416,3388414,2,369,9542,4431,5000,7500,1486,1180,-31129,-29969,0.658,0.657,1.37,1.337
2011_274/75.evt,25104,24431,3388416,3388414,3,837,14314,5453,5000,10000,3986,3680,-28629,-27469,0.658,0.657,1.37,1.337
2011_274/75.evt,12550,12550,3388416,3388414,2,235,7244,3316,5000,1,0,0,-38628,-37468,0.658,0.657,1.37,1.337
2011_274/75.evt,5000,5000,3388416,3388414,2,80,2951,1314,5000,2,0,0,-38627,-37467,0.526720223541739,0.51903597624869,1.37,1.337
2011_274/75.evt,8367,8367,3388416,3388414,2,132,4613,2485,5000,3,0,0,-36129,-34969,0.581295843520782,0.581295843520782,1.37,1.337
2011_274/75.evt,2631,2631,3388416,3388414,0,46,1786,506,5000,4,0,0,-41129,-39969,0.472144603562696,0.464460356269647,1.37,1.337
2011_274/79.evt,2590,2590,3354368,3354366,2,6,1116,1124,5000,0,-6014,-6320,-38629,-37469,0.658,0.657,1.37,1.337
2011_274/79.evt,5966,5966,3354368,3354366,4,43,2809,2349,5000,2500,-3514,-3820,-36129,-34969,0.658,0.657,1.37,1.337
2011_274/79.evt,10749,10749,3354368,3354366,4,122,5712,3494,5000,5000,-1014,-1320,-33629,-32469,0.658,0.657,1.37,1.337
2011_274/79.evt,17171,17139,3354368,3354366,4,358,9827,4566,5000,7500,1486,1180,-31129,-29969,0.658,0.657,1.37,1.337
2011_274/79.evt,25549,24742,3354368,3354366,4,854,14512,5579,5000,10000,3986,3680,-28629,-27469,0.658,0.657,1.37,1.337
2011_274/79.evt,12933,12933,3354368,3354366,4,212,7502,3492,5000,1,0,0,-38628,-37468,0.658,0.657,1.37,1.337
2011_274/79.evt,5241,5241,3354368,3354366,2,72,3043,1471,5000,2,0,0,-38627,-37467,0.526720223541739,0.51903597624869,1.37,1.337
2011_274/79.evt,8608,8608,3354368,3354366,4,106,4734,2664,5000,3,0,0,-36129,-34969,0.581295843520782,0.581295843520782,1.37,1.337
2011_274/79.evt,2799,2799,3354368,3354366,0,44,1860,568,5000,4,0,0,-41129,-39969,0.472144603562696,0.464460356269647,1.37,1.337
